ssc_505020_0010#0,"""うーん、やっぱりここから眺めるだけでは、<br>あまり実感が湧きませんね。"""
ssc_505020_0020#0,"""あっ、<%me>さん！<br>お疲れ様です。"""
ssc_505020_0030#0,"""休憩中？"""
ssc_505020_0040#0,"""どうしたの？"""
ssc_505020_0050#0,"""いえ、仕事中……ではあるのですが、<br>半分休憩ですね。"""
ssc_505020_0060#0,"""気分転換に、外に出てました。"""
ssc_505020_0070#0,"""少し、外の空気を吸おうと思いまして。"""
ssc_505020_0080#0,"""ずっと指令室にいたら<br>息がつまっちゃいますからね。"""
ssc_505020_0090#0,"""あ、そうそう。"""
ssc_505020_0100#0,"""今、クヴァリスリージョンの<br>調査資料をまとめているところなんですけど……。"""
ssc_505020_0110#0,"""よかったら、聞いてもらえますか？"""
ssc_505020_0120#0,"""じゃあ、お話ししますね。"""
ssc_505020_0130#0,"""現在のクヴァリスは、<br>一面を雪に覆われた寒冷地です。"""
ssc_505020_0140#0,"""ですが、かつては穏やかな気候で、<br>草木が生い茂っていたと記録されています。"""
ssc_505020_0150#0,"""今のエアリオと、<br>似たような場所だったみたいですね。"""
ssc_505020_0160#0,"""その頃は、多くの人々が暮らしていて、<br>今のエアリオやリテムよりも、ずっと栄えていました。"""
ssc_505020_0170#0,"""それが、ダークファルスの襲撃を受けて、<br>一夜のうちにあのようなかたちに……。"""
ssc_505020_0180#0,"""一夜……というのは、誇張かもしれないですが、<br>ごく短いあいだに、環境が大きく変化したのは間違いないようです。"""
ssc_505020_0190#0,"""この部分は、データが欠落していて、<br>因果関係は未解明なままです。"""
ssc_505020_0200#0,"""ダークファルス自体は、退けたものの、<br>クヴァリスの人々は退避を余儀なくされて……。"""
ssc_505020_0210#0,"""多くは、エアリオに逃れ、<br>このセントラルシティを建設しました。"""
ssc_505020_0220#0,"""また、一部はリテムに渡ったと言われています。"""
ssc_505020_0230#0,"""以来、クヴァリスはほとんど無人の状態が続いていました。"""
ssc_505020_0240#0,"""今回の先遣隊は、長期間滞在する部隊としては、<br>これまでで最大規模になります。"""
ssc_505020_0250#0,"""長いこと、エアリオもリテムも、<br>自分たちのリージョンの防衛で手一杯でしたが……。"""
ssc_505020_0260#0,"""あなたたちの活躍のおかげで、<br>ようやくクヴァリスにまで進出できるようになりました。"""
ssc_505020_0270#0,"""みんな、本当に感謝しています。"""
ssc_505020_0280#0,"""クヴァリスの最新の状況については、<br>先遣隊の方々のほうが詳しいと思います。"""
ssc_505020_0290#0,"""いろいろと聞いてみてください。"""
ssc_505020_0300#0,"""私も、オペレーターの仕事がなければ、<br>先遣隊に立候補してみたかったのですが……。"""
ssc_505020_0310#0,"""もしよかったら、<br>今度、どんな場所だったか聞かせてください。"""
ssc_505020_0320#0,"""よろしくお願いしますね。"""
