st_052100_0010#0,"""いかにも、僕はルーサーだが<br>いきなり人を呼び捨てる君たちは誰だ？"""
st_052100_0020#0,"""そう多くないはずなんだがね。<br>僕の顔と名前が一致する者は。"""
st_052100_0030#0,"""例えば……そう<br>ルツの手の者、とかね。"""
st_052100_0040#0,"""兄様、違います。<br>この方は、私が追われていた時<br>助けてくださった恩人です。"""
st_052100_0050#0,"""思慮が浅いよ、ハリエット。<br>それも作戦と考えなかったのかい？<br>潜伏先を突き止め一網打尽にする、ね。"""
st_052100_0060#0,"""兄様！"""
st_052100_0070#0,"""わかったわかった、そう怒るな。<br>王位継承権保持者が叫ぶものではない。"""
st_052100_0080#0,"""それを言うなら兄様だってそうです。"""
st_052100_0090#0,"""僕は継承権を剥奪されているだろう？<br>故に、思考や行動、そして研究内容を<br>縛るものは、何もない。"""
st_052100_0100#0,"""……そうか、これ、アルマさんの<br>言っていたアレですよ！"""
st_052100_0110#0,"""宇宙の記憶がしっちゃかめっちゃか。<br>アカシックレコードの見てる夢だから<br>何が起きても不思議じゃない。"""
st_052100_0120#0,"""けど、よりにもよってルーサーが<br>ハリエットさんの兄って……<br>無茶苦茶にも程がありますよ。"""
st_052100_0130#0,"""うひっ！\u3000な、なんですか！"""
st_052100_0140#0,"""ふむ……伝承にある<br>妖精の姿、そのままだね。"""
st_052100_0150#0,"""そしてそちらの君……<br>なるほど、これまた伝承の通り<br>異世界からの来訪者、のようだ。"""
st_052100_0160#0,"""そ、そんなのわかるんですか！？"""
st_052100_0170#0,"""僕は魔術研究の第一人者。<br>君達のマナの流れを見れば一目瞭然。<br>明らかに、この世界の人間と違う。"""
st_052100_0180#0,"""それにここは、召喚を行う世界。<br>僕はそれの使い方を見出した者だ。"""
st_052100_0190#0,"""そんな僕が異世界の存在を<br>信じなくて、どうするんだい？"""
st_052100_0200#0,"""それにしても、君。<br>その姿で人語を解し<br>さらに飛べるとは、ねえ。"""
st_052100_0210#0,"""伝承にあるとはいえ、実に興味深い。<br>よければ、研究されてみないかい？"""
st_052100_0220#0,"""す、住む世界違ってても<br>やってること同じじゃないですか！"""
st_052100_0230#0,"""<%me>さん！\u3000<%me>さん！<br>助けてくださいー！"""
st_052100_0240#0,"""１．これじゃ話が進まない"""
st_052100_0250#0,"""２．からかわないであげてほしい"""
st_052100_0260#0,"""ふむ、そうだね。<br>では、本題に入るとしようか。"""
st_052100_0270#0,"""僕はいたって本気なんだが……<br>おっと、妹の視線が痛い痛い。<br>では、本題に入るとしよう。"""
st_052100_0280#0,"""戦争の原因、この国の現状について<br>聞かせてあげようじゃないか。"""
