text01#0,"""こんにちは<br><%me>さん。<br>改めて自己紹介するね。"""
text02#0,"""私はアスナ。これまで、ずっと<br>キリトくんのパートナーとして<br>一緒に冒険してきたの。"""
11_voice_NPC_5665_100#0,"""あなたたちとも<br>仲良くなれたら嬉しいな。"""
text01#1,"""この服……私にとってはすごく<br>懐かしいものなの。昔、キリトくんと<br>出会った頃に着ていたものなんだ。"""
text02#1,"""あの頃は血盟騎士団副団長なんて<br>呼ばれて……強い私でいなくちゃと<br>思ってたし……毎日必死だったなぁ。"""
11_voice_NPC_5665_100#1,"""キリトくんとも、まだ今みたいに<br>仲良くなくてね。ふふ、今思うと<br>昔の私はすっごく意地張ってたなぁ。"""
text04#0,"""つらいことも楽しいことも、たくさんの<br>思い出がこの服には詰まってるの。<br>また着られて、嬉しいな！"""
text01#2,"""ちょっと聞いたんだけど<br>各惑星で釣りができるのよね？<br>どんなのが釣れるのかしら。"""
text02#2,"""釣りって言えば、昔キリトくんが<br>湖の主を釣り上げたことがあったの。<br>懐かしいなぁ～。"""
text03#0,"""ここでも、あんな大物が<br>釣れることって、あるのかな？"""
11_voice_NPC_5665_101#0,"""ここは、ファッションアイテムや<br>ルームグッズが<br>すごく充実してるのね！\u3000嬉しいな！"""
text02#3,"""可愛いのもたくさんあるし<br>色々欲しくなっちゃう！\u3000やっぱり<br>それなりにメセタかかるのかな？"""
text03#1,"""どこの世界でも<br>ウィンドウショッピングって<br>楽しいものだね。"""
text01#3,"""私たちが元々いた世界……<br>《ＡＬＯ》には<br>仲間たちがいるの。"""
text02#4,"""昔からの知り合いもいて……<br>そうね、一言でいえば戦友かな。"""
text03#2,"""そろそろ帰らないと<br>皆寂しがっちゃうし、私も寂しい。<br>でもね……"""
text04#1,"""人との出会いは、いつも奇跡で<br>大切なもの。私にはそれを<br>教えてくれた人がいるから……"""
text05#0,"""だから、今は一緒に楽しみましょう。<br>いつかあなた達を《ＡＬＯ》に<br>ご招待したいな。皆喜ぶと思うよ！"""
