Title#0,"""กำจัด Dekor Maryuda"""
Explanation#0,"""ในส่วนที่ลึกที่สุดของ Undersea บนดาว Wopal<br>ยืนยันว่ามีการพบD-arkerขนาดมหึมาที่ชื่อDekor Maryuda<br>ซึ่งเป็น D-arker ชนิดพิเศษอย่างที่ไม่เคยปรากฏมาก่อน<br>ขอให้ ARKS ทุกนายที่มีความพร้อม จงไปจัดการ <br>Dekor Maryuda ให้สิ้นซากซะ<br>--------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในการต่อสู้ที่ลึกที่สุด"""
Title#1,"""デコル・マリューダ討伐"""
Explanation#1,"""惑星ウォパル、海底エリアの最奥にて<br>デコル・マリューダと呼称される<br>大型のダーカーが確認された。<br>これまでに確認されたダーカー種の中でも<br>特異な形状をしているとの報告だ。<br><br>アークス各員は準備が出来次第出撃し<br>デコル・マリューダを迅速に討伐せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Dekor Maryuda!"""
SimpleExplanation#1,"""デコル・マリューダを討伐せよ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
