msc_010250_0010#0,"""へぇ、きれいなところ。"""
msc_010250_0020#0,"""……アイナ。"""
msc_010250_0030#0,"""……ん？\u3000何？"""
msc_010250_0040#0,"""大丈夫？"""
msc_010250_0050#0,"""うん、大丈夫だよ？"""
msc_010250_0060#0,"""……ごめんなさい。<br>私、ヒトの感情の機微に疎くて。"""
msc_010250_0070#0,"""ううん、そんなことない。<br>……ありがとう、マノン。"""
msc_010250_0080#0,"""キミも。<br>これから、よろしくね。"""
msc_010250_0090#0,"""マノンも。"""
msc_010250_0100#0,"""あのドールズ……ダークファルス、<br>あたしたち三人の力で、絶対に倒そうね！"""
msc_010250_alpha4_0010#0,"""手配してもらった宿舎にて<br>ひとときの休息を得た<%me>。"""
msc_010250_alpha4_0020#0,"""<%me>はここより<br>アークスとしての第一歩を踏み出す。"""
name_01#0,"""ナレーション"""
