un_012240_0010#0,"""哈德烈......<br>不用現身沒關係。<br>不過，聽人家說幾句吧。"""
un_012240_0020#0,"""你真的是從以前就很隨興、很粗暴，<br>不計後果，腦筋不好又不肯聽話，<br>傲慢、固執、死腦筋、不懂風情......"""
un_012240_0030#0,"""所以才會做出這件事情吧？<br>你覺得是為了人家好，<br>所以不和人家說就自己做決定的對吧？"""
un_012240_0040#0,"""笨蛋！　大笨蛋！<br>哈德烈大傻蛋！"""
un_012240_0050#0,"""人家希望這樣了麼！？<br>人家說過希望你這樣做了麼！？"""
un_012240_0060#0,"""人家有抱怨過麼？<br>人家有說過厭煩你了麼？<br>不要隨便猜測我的心！"""
un_012240_0070#0,"""就算是接受可能送命的命令，<br>人家會更圓滿、更巧妙的<br>處理好啊！　笨蛋！"""
un_012240_0080#0,"""人家是你姐姐耶！<br>為什麼做弟弟的要強出頭！<br>不要以為比較大隻就可以胡鬧！"""
un_012240_0090#0,"""結果變成ARKS和Photoner<br>都在追殺你......<br>你真的是......！　笨蛋！"""
un_012240_0100#0,"""......結束這一切吧，哈德烈。<br>處置背叛者，是人家的工作。"""
un_012240_0110#0,"""最後讓人家<br>親手了斷你。<br>那，就是人家的任務。"""
un_012240_0120#0,"""抱歉打擾了這麼久。<br>下一次，會處理好一切的。<br>......到時要麻煩你了。"""
un_012240_0130#0,"""A.P.238/4/22"""
