11_voice_NPC_5021_104#0,"""มี ARKS มากมายที่ชอบลุยตามลำพัง<br>แล้วทีมเวิร์คล่ะ นี่ยังไม่รวมถึงความปลอดภัย<br>ที่มากกว่าเมื่อไปเป็นทีมนะ"""
text02#0,"""ถ้าท่านมี Partner card ของใครบางคน<br>นั่นคือท่านสามารถพาพวกเขาออกไปผจญภัยได้<br>ถ้าไม่มีมันคงไม่ฉลาดนะ"""
text03#0,"""แล้วท่านล่ะ ท่านควรจะตั้งพาร์ทเนอร์ของท่านด้วย<br>ทำเลยซิ!"""
text04#0,"""ทำอะไร? ไม่ได้ฟังที่พูดเลยเหรอ?<br>ไปผจญภัยกับพาร์ทเนอร์!!<br>นี่ไง Partner card ของข้า."""
text05#0,"""มัวรออะไรอยู่? จงไปผจญภัยด้วยกัน<br>นั่นล่ะคือหน้าที่ของ ARKS"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Jan มาเป็นพาร์ทเนอร์ได้แล้วได้"""
text100#0,"""ร่วมเดินทางกับตัวละครพาร์ทเนอร์ (Partner)"""
text101#0,"""<yellow>*Client Order นี้จะได้ Jan ร่วมเดินทางด้วย<br>และจะผ่านง่ายขึ้นถ้าท่านตั้งรหัสในเมนู \""Enter Party Info\"" แล้วเลือก \""จำกัดคนที่ร้องขอจากปาร์ตี้อื่นๆ\""<br>เมื่อยอมรับมัน<c>"""
11_voice_NPC_5021_104#1,"""昨今のアークスは単独行動を<br>好む者が多すぎる！<br>嘆かわしいことだ！"""
text02#1,"""パートナーカードを所持していれば<br>連れだって冒険に出ることも<br>出来るというのに……もったいない！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐ行ってくるといい！"""
text04#1,"""何所へ、って、決まっているだろう。<br>パートナーを連れだっての冒険だ！<br>私のパートナーカードを渡すから！"""
text05#1,"""さあ、さあ、共に行こうではないか！<br>パートナーを連れだっての冒険！<br>それこそアークスの本分だぞ！"""
linewindow001#1,"""<br>ジャンをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※ジャンを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
