Symbol_Common_ID#0,"""部件ID"""
Symbol_Common_Name#0,"""部件名稱"""
Symbol_Common_Pos#0,"""座標配置"""
Symbol_Common_Height#0,"""長"""
Symbol_Common_Wight#0,"""寬"""
Symbol_Common_Rotate#0,"""傾斜角度"""
Symbol_Common_Alpha#0,"""透明度"""
Symbol_Common_Color#0,"""顏色"""
Symbol_Common_Folder#0,"""漸層"""
Symbol_Common_Visible#0,"""不顯示的旗幟"""
Symbol_Common_GroupID#0,"""群組ID"""
Symbol_Common_ColorA#0,"""A"""
Symbol_Common_ColorR#0,"""R"""
Symbol_Common_ColorG#0,"""G"""
Symbol_Common_ColorB#0,"""B"""
Symbol_Common_PosX#0,"""X"""
Symbol_Common_PosY#0,"""Y"""
EditVectorSet#0,"""登録塗鴉"""
EditVectorClear#0,"""解除登録"""
SoundFile_00_vita#0,"""配合對話框聲音"""
SoundFile_00#0,"""選擇音效效果"""
SoundFile_01#0,"""靜音"""
SoundFile_02#0,"""一般"""
SoundFile_03#0,"""開心"""
SoundFile_04#0,"""生氣"""
SoundFile_05#0,"""悲傷"""
SoundFile_06#0,"""不安"""
SoundFile_07#0,"""震驚"""
SoundFile_08#0,"""疑問"""
SoundFile_09#0,"""HELP"""
SoundFile_10#0,"""語音"""
SoundFile_11#0,"""害羞"""
SoundFile_12#0,"""決定！"""
ColorSelectForm_Color_Title#0,"""色彩調整"""
ColorSelectForm_Alpha_Title#0,"""透明度設定"""
EditForm_Color_Exp#0,"""請設定部件顏色。"""
EditForm_Alpha_Exp#0,"""請設定部件透明度。"""
MoneyForm_Title#0,"""-"""
MoneyForm_Button_Up#0,"""-"""
MoneyForm_Exp#0,"""-"""
EditForm_Title#0,"""編輯塗鴉"""
EditForm_Button_Save#0,"""儲存編寫内容"""
EditForm_Button_AsSave#0,"""儲存於其他欄位"""
EditForm_Button_NameEdit#0,"""命名"""
EditForm_Button_Create#0,"""追加圖形"""
EditForm_Sort_Big#0,"""標準大小（聊天/個人資料專用）"""
EditForm_Sort_Normal#0,"""中型大小 （裝飾小屋用）"""
EditForm_Sort_Mini#0,"""小型大小（公會旗幟專用）"""
EditForm_Button_Back#0,"""還原"""
EditForm_Button_Front#0,"""重來"""
EditForm_Button_Minus#0,"""－"""
EditForm_Button_Plus#0,"""＋"""
EditForm_Zoom#0,"""$(0)％顯示"""
EditForm_Title_AddStr#0,""" * (更新)"""
EditForm_VITA_Help#0,"""幫助"""
EditForm_VITA_Menu#0,"""<pict Sign_SELECT>菜單"""
EditForm_VITA_Menu_Create#0,"""製作新的圖形"""
EditForm_VITA_Menu_Save#0,"""儲存編寫内容"""
EditForm_VITA_Menu_SaveAs#0,"""儲存於其他欄位"""
EditForm_VITA_Menu_NameEdit#0,"""命名"""
EditForm_VITA_Menu_Zoom#0,"""變更顯示倍率"""
EditForm_VITA_Menu_Sound#0,"""設定音效效果"""
EditForm_VITA_Menu_Size#0,"""變更畫布大小"""
EditForm_VITA_Menu_Title#0,"""塗鴉菜單"""
EditForm_VITA_Size_Title#0,"""變更畫布大小"""
EditForm_VITA_Sound_Title#0,"""設定音效效果"""
EditForm_VITA_Zoom_Title#0,"""變更顯示倍率"""
EditForm_NoParts#0,"""無可選擇的圖形。"""
EditForm_SaveNoData_Exp#0,"""無圖形的情況下，資料無法儲存。"""
EditForm_Exit_Exp#0,"""資料可能已經變更。<br>將會失去上次保存後編輯的內容。<br>確定麼？"""
EditForm_Save_Exp#0,"""所選欄位已有資料存在<br>是否確認覆蓋現有資料資料？"""
EditForm_Exten_Exp#0,"""將只儲存目前顯示的圖形。<br>確定麼？"""
EditForm_Draft_Exp#0,"""草稿内容，尚未儲存。<br>結束編輯，將失去草稿資料<br>確定麼？"""
CreateForm_Title#0,"""選擇部件"""
CreateForm_Parts_NotFound#0,"""無部件"""
CreateForm_Tab_Font#0,"""文字"""
CreateForm_Tab_Base#0,"""基本圖型"""
CreateForm_Tab_Line#0,"""線條"""
CreateForm_Tab_Ink#0,"""墨水"""
CreateForm_Tab_Gradation#0,"""明暗度"""
CreateForm_Tab_Pattern#0,"""分割"""
CreateForm_Tab_Mark#0,"""記號"""
CreateForm_Tab_Etc#0,"""其它"""
CreateForm_Tab_Stamp#0,"""圖片"""
CreateForm_Menu_View#0,"""顯示/不顯示"""
CreateForm_Menu_ViewEnable#0,"""顯示"""
CreateForm_Menu_ViewDisable#0,"""不顯示"""
CreateForm_Menu_Pos#0,"""移動"""
CreateForm_Menu_Size#0,"""大小"""
CreateForm_Menu_Rotate#0,"""回轉"""
CreateForm_Menu_Warp#0,"""傾斜"""
CreateForm_Menu_Reverse#0,"""反轉"""
CreateForm_Menu_ReverseUPDOWN#0,"""上下反轉"""
CreateForm_Menu_ReverseLEFTRIGHT#0,"""左右反轉"""
CreateForm_Menu_ColorSelect#0,"""顏色"""
CreateForm_Menu_Alpha#0,"""調整透明度"""
CreateForm_Menu_Move#0,"""替換"""
CreateForm_Menu_Move_Shift#0,"""連續移動"""
CreateForm_Menu_Move_UP#0,"""往上一格   <gray>[-]<c>"""
CreateForm_Menu_Move_UP_V#0,"""往上一格"""
CreateForm_Menu_Move_DOWN#0,"""往下一格   <gray>[+]<c>"""
CreateForm_Menu_Move_DOWN_V#0,"""往下一格"""
CreateForm_Menu_Move_TOP#0,"""移動到最上方   <gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_TOP_V#0,"""移動到最上方"""
CreateForm_Menu_Move_BOTTOM#0,"""移動到最下方   <gray>[Ctrl]+[E]<c>"""
CreateForm_Menu_Move_BOTTOM_V#0,"""移動到最下方"""
CreateForm_Menu_Delete#0,"""刪除"""
CreateForm_Menu_Duplicate#0,"""創建複製     <gray>[Ctrl]+[D]<c>"""
CreateForm_Menu_Duplicate_V#0,"""創建複製"""
CreateForm_Menu_Copy#0,"""複製   <gray>[Ctrl]+[C]<c>"""
CreateForm_Menu_Copy_V#0,"""複製"""
CreateForm_Menu_Paste#0,"""粘貼    <gray>[Ctrl]+[V]<c>"""
