name01#0,"""Astalte"""
text01#0,"""ประทับตราเรียบร้อย<br>ขอบคุณที่เหนื่อยนะ"""
11_voice_shop_414#0,"""และหัวข้อต่อไปก็คือ <br><c bb0000>การดำเนินการ Craft<c>"""
text03#0,"""การ Craft นั้นสามารถดำเนินการ<br>ได้เมื่อเปิดเมนู Craft ที่ <br>My Room Terminal ขึ้นมา"""
text04#0,"""ดูเหมือนว่าการ Craft นั้นจะสามารถใช้ฟังก์ชั่น<br>ได้หลากหลายอย่างเช่น Photon Magical Customize <br>หรือ Arms Extended เป็นต้น"""
text05#0,"""ก่อนอื่นท่านก็ลองใช้เซ็ตวัตถุดิบ<br>ของคุณ Zig ทำการ Arms Extended <br>ให้กับ Gunslash ดูซักหน่อยดีไหม"""
text06#0,"""อนึ่ง หากท่านทำภารกิจสำเร็จ<br>ชั้นก็จะทำการประทับตราให้กับท่าน<br>ดังนั้นกรุณามาหาชั้นอีกครั้งที่ ARKS Lobby ด้วย"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は<br><c bb0000>クラフトの実行<c>です。"""
text03#1,"""クラフトはマイルーム端末から<br>クラフトメニューを開くことで<br>行うことができます。"""
text04#1,"""クラフトではテクニックカスタマイズや<br>武装エクステンドなど<br>様々な機能が使えるそうです。"""
text05#1,"""まずはジグさんの素材セットを使用して<br>ガンスラッシュを武装エクステンド<br>してみてはいかがでしょうか。"""
text06#1,"""なお、目標を達成したら<br>スタンプを押しますので<br>アークスロビーまでお越しください。"""
