ar_or010300#0,"""No.1 <br>จงไปเคลียร์ Client order ของ Jan <br>[Must see! How to manage items!]"""
ar_or010301#0,"""No.2 <br>จงไปเคลียร์ Client order ของ Jan<br>[Must read! How to use Visiphone!]"""
ar_or010302#0,"""No.3 <br>จงไปเคลียร์ Client order ของ Jan<br>[Useful! How to use auto chat!]"""
ar_or010303#0,"""No.4 <br>จงไปเคลียร์ Client order ของ Jan<br>[Tasty! AC shop display!]"""
ar_or010304#0,"""No.5 <br>จงไปเคลียร์ Client order ของ Jan<br>[How to send a Good job!]"""
ar_or010305#0,"""No.6 <br>จงไปเคลียร์ Client order ของ Jan<br>[How to Use FUN Scratch Tickets!]"""
ar_or010306#0,"""No.7 <br>จงไปเคลียร์ Client order ของ Jan<br>[How to edit your ARKS ID!]"""
ar_or010300#1,"""No.1<br>ジャンのクライアントオーダー<br>「必見！アイテム管理法！」の達成"""
ar_or010301#1,"""No.2<br>ジャンのクライアントオーダー<br>「必読！ビジフォン利用法！」の達成"""
ar_or010302#1,"""No.3<br>ジャンのクライアントオーダー<br>「便利！オートワード活用法！」の達成"""
ar_or010303#1,"""No.4<br>ジャンのクライアントオーダー<br>「垂涎！ACショップの陳列！」の達成"""
ar_or010304#1,"""No.5<br>ジャンのクライアントオーダー<br>「グッジョブの送信方法！」の達成"""
ar_or010305#1,"""No.6<br>ジャンのクライアントオーダー<br>「FUNスクラッチの利用方法！」の達成"""
ar_or010306#1,"""No.7<br>ジャンのクライアントオーダー<br>「アークスカードの編集方法！」の達成"""
ar_or010300#2,"""Must see! How to manage items!"""
ar_or010301#2,"""Must read! How to use Visiphone!"""
ar_or010302#2,"""Useful! How to use auto chat!"""
ar_or010303#2,"""Tasty! AC shop display!"""
ar_or010304#2,"""How to send a Good job!"""
ar_or010305#2,"""How to Use FUN Scratch Tickets!"""
ar_or010306#2,"""How to edit your ARKS ID!"""
ar_or010300#3,"""必見！アイテム管理法！"""
ar_or010301#3,"""必読！ビジフォン利用法！"""
ar_or010302#3,"""便利！オートワード活用法！"""
ar_or010303#3,"""垂涎！ACショップの陳列！"""
ar_or010304#3,"""グッジョブの送信方法！"""
ar_or010305#3,"""FUNスクラッチの利用方法！"""
ar_or010306#3,"""アークスカードの編集方法！"""
