11_voice_NPC_5591_100#0,"""フンフン、フンフフ～ン♪<br>あら、リーダーじゃない。"""
11_voice_NPC_5591_201#0,"""アタシがごきげんな理由？<br>うふふ……ジェネちゃんに<br>聞いてみたらどうかしら？"""
11_voice_NPC_5591_109#0,"""あーん！\u3000もう耐えられない！<br>そんなに見ないでぇ！！"""
text02002#0,"""この水着……<br>布が多くて落ち着かないの。<br>もう、思い切って脱いでやろうかしら♪"""
text03001#0,"""アタシも、ジェネちゃんみたいな<br>水着がよかったわぁん……"""
11_voice_NPC_5591_104#0,"""でも……ダァメ！<br>あの水着は、ジェネちゃんこそ！<br>いやぁん！\u3000もう……たまんないわぁ！"""
text04001#0,"""リーダー……<br>そんな恰好で暑くなぁい？"""
11_voice_NPC_5591_201#1,"""暑かったら、脱いじゃいましょう？<br>暑くなくても、脱いじゃいましょ！<br>ほらほらぁん♪"""
11_voice_NPC_5591_202#0,"""うふふ……やーっと<br>ビーチの邪魔者がいなくなったわね！<br>ありがとね、リーダー♪"""
text05002#0,"""それじゃ、この後は……<br>アタシとリーダーで<br>ひと夏のアバンチュールを……"""
11_voice_NPC_5590_103#0,"""ブルージーレクイエム……<br>あまり羽目を外すようなら<br>セラフィさんに報告するわよ。"""
11_voice_NPC_5591_203#0,"""そ、それは……それはダメー！<br>セラフィさんの責め……<br>もう……本気すぎて、アタシでも……"""
11_voice_NPC_5591_204#0,"""「真面目」の書き取り１００回は……<br>うう……わかったわよ。<br>アバンチュールはまた今度……ね？"""
Title#0,"""『PSO2es』について"""
text0001#0,"""『ＰＳＯ２ｅｓ』のキャラクター、ジェネとアネット<br>ウェポノイドのブルージーレクイエムが<br>水着姿になって、期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べるアプリケーションです。<br>タッチとスライドの簡単操作で本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に、強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、ジェネやモアたちダーカーバスターズのほか<br>アフタル、リーン、ウェポノイドたち、魅力的な仲間と一緒に<br>宇宙をめぐる壮大な物語に旅立つことができます！"""
text0002#0,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと連動することができます。<br>データを連動させれば『ＰＳＯ２』のキャラクターを<br>そのまま使って遊ぶことができます。<br>無料で使える『ＰＳＯ２ｅｓ連動倉庫』や、経験値チケット<br>様々なレアアイテムなどが入手できます。<br>『ＰＳＯ２ｅｓ』を連動して遊ぶことで『ＰＳＯ２』を<br>いつでも、どこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>ジェネやアネットたちに会いに行きましょう！<br>無限に広がる世界で、ダーカーバスターズのメンバーや<br>魅力的なウェポノイドたちがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
Title#1,"""『PSO2es』について"""
text0001#1,"""『ＰＳＯ２ｅｓ』のジェネとアネット<br>ウェポノイドのブルージーレクイエムが<br>水着になって期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べる<br>アプリケーションです。<br>タッチとスライドの簡単操作で<br>本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に<br>強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、アフタルやリーン<br>ジェネやモアたちダーカーバスターズの仲間と<br>宇宙をめぐる壮大な物語に<br>旅立つことができます！"""
text0002#1,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと<br>連動することができます。<br>データを連動させれば『ＰＳＯ２』の<br>キャラクターをそのまま使って<br>遊ぶことができます。<br>無料で使える連動倉庫が使え<br>経験値チケットやレアアイテムが入手できます。<br>『ＰＳＯ２ｅｓ』を遊ぶことで『ＰＳＯ２』を<br>いつでもどこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>ジェネやアネットたちに会いに行きましょう！<br>ダーカーバスターズのメンバーや<br>魅力的なウェポノイドがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
