name01#0,"""シエラ"""
text01#0,"""今度はエトワールにおける<br>デュアルブレードの動きを<br>一緒に見ていきましょう！"""
text02#0,"""エトワールのデュアルブレードは<br><red>攻撃の手を止めずに、継続して<br>ダメージを与える<c>ことが得意です。"""
text03#0,"""デュアルブレードのＰＡは<br><red>エッジと呼ばれる<br>派生攻撃<c>を行うことができます。"""
text04#0,"""エッジ攻撃は<br><red>ＰＡを長押しする<c>ことで<br>ＰＰを追加で消費して発動します。"""
text05#0,"""<red>自分の攻撃と、エッジによる連続攻撃<c><br>どちらも華麗に当てちゃいましょう！"""
text101#0,"""課題４：<yellow>エッジ攻撃をエネミーに当てる<c>"""
train_title#0,"""課題４：<yellow>エッジ攻撃をエネミーに当てる<c>"""
tut_title#0,"""エッジ攻撃について"""
text100#0,"""・<%PhotonArts>を長押ししてフォトンアーツを発動"""
text100_3b#0,"""・<%PhotonArts>を長押ししてフォトンアーツを発動"""
tut_win_title#0,"""『エトワールデュアルブレードのエッジの使い方』について"""
tut_win_text100#0,"""エトワールデュアルブレードは<br>ＰＡ発動時、ＰＡボタンを長押しすることで<br>ＰＰを追加で消費し「エッジ」による<br>追加攻撃を行うことができます。<br><br>デュアルブレードの攻撃の隙を<br>うまく「エッジ」で補いましょう。"""
tut_win_text101#0,"""￥についての説明"""
