name_7211#0,"""シャンディー"""
ssn_019020_002_0001#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019020_002_0002#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019020_002_0003#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019020_002_0004#0,"""来てくれて、ありがとうございます。"""
ssn_019020_002_0005#0,"""今回も、あなたに調査を<br>お願いできればと思っているのですが……。"""
ssn_019020_002_0101#0,"""リージョンマグってご存知ですか？<br>実はこの時期になると、その見た目が変わるんです。"""
ssn_019020_002_0102#0,"""それと、この時期だけ採れる<br>ギャザリングの素材がありまして……。"""
ssn_019020_002_0103#0,"""これを、今のリージョンマグにあげたら、<br>どんな効果があるか調べたいと思っています。"""
ssn_019020_002_0104#0,"""まずは、このギャザリング素材の収集を<br>お願いできますか？"""
ssn_019020_002_0105#0,"""協力者には、特別な報酬も用意してありますので。"""
ssn_019020_002_0106#0,"""それでは、よろしくお願いしますね。"""
ssn_019020_002_0006#0,"""おかえりなさい！<br>おかげで、いいデータがとれました。"""
ssn_019020_002_0007#0,"""リージョンマグは、謎な部分が多いですが、<br>今回のデータが、その解明の役に立つと思います。"""
ssn_019020_002_0008#0,"""ほかの研究員たちも、<br>あなたの活躍に興味をもってくれたみたいです。"""
ssn_019020_002_0009#0,"""今度、紹介しておきますね！"""
ssn_019020_002_0010#0,"""今回は、ありがとうございました。"""
ssn_019020_002_0011#0,"""報酬は、お渡ししているポイントと交換しますので、<br>必要なものがあったら、教えてください。"""
ssn_019020_002_0012#0,"""引き続き、いろいろな調査、研究に<br>協力してもらえると嬉しいです。"""
ssn_019020_002_0013#0,"""これからも、よろしくお願いしますね。"""
ssn_019020_002_0014#0,"""この時期のエネミーの変化については、<br>鋭意調査中です。"""
ssn_019020_002_0015#0,"""どんな些細なデータでも、<br>提供してもらえると助かります。"""
npc_menu_0001#0,"""タスクを受注"""
npc_menu_0002#0,"""シーズナルポイントとアイテムを交換"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズンエネミー”について"""
npc_menu_0007#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0008#0,"""“デイリー／ウィークリータスク”について"""
npc_menu_0009#0,"""“ミスチーフシンボル”について"""
npc_menu_0010#0,"""“シーズナルギャザリング”について"""
npc_menu_0011#0,"""“シーズナルリージョンマグ”について"""
npc_menu_0012#0,"""聞きたいことはない"""
