Ship01#0,"""Ship01:フェオ"""
Ship02#0,"""Ship02:ウル"""
Ship03#0,"""Ship03:ソーン"""
Ship04#0,"""Ship04:アンスール"""
Ship05#0,"""Ship05:ラグズ"""
Ship06#0,"""Ship06:ケン"""
Ship07#0,"""Ship07:ギョーフ"""
Ship08#0,"""Ship08:ウィン"""
Ship09#0,"""Ship09:ハガル"""
Ship10#0,"""Ship10:ナウシズ"""
Self01_01#0,"""Self01_01"""
Self01_02#0,"""Self01_02"""
Self02_01#0,"""Self02_01"""
Self02_02#0,"""Self02_02"""
Ship01#1,"""Ship01"""
Ship02#1,"""Ship02"""
YesText#0,"""はい"""
NoText#0,"""いいえ"""
CloseText#0,"""閉じる"""
OpenText#0,"""開く"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""ソート"""
