un_020510_0010#0,"""ああ、お前か……"""
un_020510_0020#0,"""いや、オレは他のクラスとの<br>連携訓練をしているの……だが……"""
un_020510_0030#0,"""オーザさあん？<br>どうしましたかあ？<br>寝ているんですかあ？"""
un_020510_0040#0,"""もっと殺る気出しましょうよお。<br>この先の敵さん、もう全部リサが<br>やっちゃいましたよお？"""
un_020510_0050#0,"""っておやおやあらら？<br>あなたと話し込んでいたんですか。<br>ま、それなら仕方がないですねえ。"""
un_020510_0060#0,"""その……なんというか少し<br>やりすぎではないか、リサ？"""
un_020510_0070#0,"""そうですかあ？<br>敵は敵なんですから敵らしく<br>のべつまくなしに殺らないと。"""
un_020510_0080#0,"""ああ、安心してくださいよお。<br>連携訓練中に誤射したりはしません。<br>前に怒られましたからねえ。"""
un_020510_0090#0,"""だから、オーザさんは安心して<br>リサに向かってくる敵さんを<br>ずばずばーっと、殺ってくださいねえ。"""
un_020510_0100#0,"""まあ、ハンターとレンジャーの<br>連携としては、正しいと思うが……"""
un_020510_0110#0,"""さあさあ、行きましょう。<br>もっとたくさん殺らないと<br>訓練にもならないですよお？"""
un_020510_0120#0,"""あくまで連携の訓練であって<br>敵の殲滅が目的ではないんだが……<br>あいつにそれを言っても無駄か。"""
un_020510_0130#0,"""まったく……これならまだ<br>フォースのあいつとのほうが<br>連携しやすいというものだな。"""
