msc_022060_0010#0,"""あら、あなた。"""
msc_022060_0020#0,"""今日はひとり？"""
msc_022060_0030#0,"""その……マノンの話だけど……。"""
msc_022060_0040#0,"""リサージェントアークス……、<br>だったかしら。"""
msc_022060_0050#0,"""正直驚いたわ。"""
msc_022060_0060#0,"""マノンに失望した？"""
msc_022060_0070#0,"""マノンは悪くないんだ。"""
msc_022060_0080#0,"""そんなこと、<br>あるわけないじゃない。"""
msc_022060_0090#0,"""ええ、わかっているわ。"""
msc_022060_0100#0,"""マノンは、わたしたちのことを<br>すごく大切に想ってくれてたわ。"""
msc_022060_0110#0,"""そのことは、よく知ってる。"""
msc_022060_0120#0,"""だから、マノンの正体がなんであっても、<br>彼女に対する気持ちが簡単に変わったりはしないわ。"""
msc_022060_0130#0,"""……それで、最近そのマノンの噂をよく聞くのよね。"""
msc_022060_0140#0,"""噂？"""
msc_022060_0150#0,"""なにか悪い噂が……？"""
msc_022060_0160#0,"""ええ。"""
msc_022060_0170#0,"""ううん、その逆。"""
msc_022060_0180#0,"""マノンが、すごい力を使って、<br>いろんなところで活躍してるって。"""
msc_022060_0190#0,"""クヴァリスキャンプにも、<br>その力に助けられたヒトがいるらしいの。"""
msc_022060_0200#0,"""みんな、マノンに感謝していたわ。"""
msc_022060_0210#0,"""そうやって少しずつでも、<br>マノンの理解者が増えるといいわね。"""
msc_022060_0220#0,"""どんな力なのかは、わからないけど。"""
msc_022060_0230#0,"""きっと、みんなわかってくれる。"""
msc_022060_0240#0,"""大変だとは思うけど……。"""
msc_022060_0250#0,"""ええ、そうね。"""
msc_022060_0260#0,"""わたしたちも、マノンのために、<br>できる限りのことをするわ。"""
msc_022060_0270#0,"""なにかあったら、<br>遠慮なく言ってちょうだい。"""
