msc_014070_0010#0,"""I see."""
msc_014070_0020#0,"""Commander, while Central City's<br>strategy has a different end goal in mind..."""
msc_014070_0030#0,"""I would say it has many commonalities<br>with the strategy we had planned."""
msc_014070_0040#0,"""...Kanui, fill them in<br>on our strategy."""
msc_014070_0050#0,"""Understood..."""
msc_014070_0060#0,"""We are currently conducting a large-scale<br>operation here in the Stia Region."""
msc_014070_0070#0,"""It will involve suppressing and wresting control of<br>three DOLLS bases. The current stage is as follows..."""
msc_014070_0080#0,"""...And that's the brief<br>outline of what we have planned."""
msc_014070_0082#0,"""...So we're taking control of a DOLLS \""plant\""<br>and bases in the north and south..."""
msc_014070_0084#0,"""And we're starting with<br>the capture of this plant..."""
msc_014070_0090#0,"""Yes... It has very powerful<br>DOLLS protecting it..."""
msc_014070_0100#0,"""Even we haven't been able to<br>totally capture the area thus far."""
msc_014070_0110#0,"""With the enemy numbers as they are, we haven't been able<br>to completely wrest the area from their control..."""
msc_014070_0120#0,"""But now we have you. I'd like to<br>make the best of this opportunity."""
msc_014070_0130#0,"""The plan is to divert the attention of<br>the enemies in the facility with a forward party."""
msc_014070_0140#0,"""Meanwhile, Commander Guren will lead our main forces<br>into the heart of the enemy base, and take it right out from under them."""
msc_014070_0150#0,"""I'll have you three join our main forces, where I trust you'll make sure none of them get back up."""
msc_014070_0160#0,"""Failure isn't an option. I will have this succeed, by any means necessary..."""
msc_014070_0170#0,"""Understood."""
msc_014070_0180#0,"""..."""
msc_014070_0190#0,"""...Move out."""
msc_014070_0200#0,"""Don't worry. You won't be without support out there. Let's move."""
