IncidentName#0,"""ทำลาย Corrupted Aircraft"""
TrialBeginMsg#0,"""ทำลาย Fighter Plane ที่ถูกครอบงำโดย D-arker"""
EnemyAppearMsg#0,"""ศัตรูกำลังมาในทิศ $(0)!"""
TrialEvolutionBeginMsg_ReLanding#0,"""ป้องกัน Fighter Plane อีกครั้งจนกว่าจะซ่อมแซมเสร็จ!"""
TrialEvolutionBeginMsg_ShootDarkerHeli#0,"""ทำลาย Fighter Plane ที่ถูกครอบงำโดย D-arker"""
TrialAbstract#0,"""ทำลาย Fighter Plane ที่ถูกครอบงำโดย D-arker<br>ภายในเวลาที่กำหนด"""
IncidentName#1,"""侵食戦闘機を破壊せよ"""
TrialBeginMsg#1,"""ダーカーに侵食された戦闘機を破壊せよ！"""
EnemyAppearMsg#1,"""$(0)の方向から敵が現れた！"""
TrialEvolutionBeginMsg_ReLanding#1,"""修理が完了するまで、再び戦闘機を防衛せよ！"""
TrialEvolutionBeginMsg_ShootDarkerHeli#1,"""ダーカーに侵食された戦闘機を破壊せよ！"""
TrialAbstract#1,"""制限時間内に<br>ダーカーに侵食された戦闘機を破壊せよ"""
NpcComOnBegin#0,"""/face3 นี่มันอะไรกัน?! Fighter plane ของเราถูกครอบงำโดยพวก D-arker!<br>นี่มันชักจะไม่ค่อยดีแล้ว"""
NpcComOnBegin2#0,"""ทำลายเครื่องที่ได้รับผลกระทบก่อนที่จะโดนครอบงำโดยสมบูรณ์"""
NpcComOnHp50#0,"""โปรดระวังด้วย<br>การครอบงำของ D-arker กำลังดำเนินไปอย่างรวดเร็ว"""
NpcComOnHp10#0,"""อีกนิดเดียวก่อน Fighter Plane ที่ถูกครอบงำจะถูกทำลาย"""
NpcComOnLanding#0,"""ไม่ใช้"""
NpcComOnTimeNotice#0,"""...ระดับของการครอบงำเริ่มมากขึ้นแล้ว!<br>รีบทำลายมัน ไม่งั้นเราคงเสียมันไปแน่!"""
NpcComOnSuccess#0,"""Sensor ตรวจพบว่า Corrupted Aircraft ได้ถูกทำลายแล้ว<br>ท่านทำได้ดีมาก"""
NpcComOnFailure#0,"""....Fighter Plane หายไปจากสัญญาณ<br>D-arker กำลังวางแผนจะทำอะไรกับมันกันนะ<br>ข้าสงสัยจริงๆ...?"""
NpcComOnBegin#1,"""/face3 アークスの戦闘機がダーカーの<br>侵食を受けた、だと……！<br>ちっ、面倒なことになったな。"""
NpcComOnBegin2#1,"""侵食が不完全な今のうちに<br>該当の機体を破壊しろ！"""
NpcComOnHp50#1,"""気を付けろ。<br>侵食が進行しているぞ。"""
NpcComOnHp10#1,"""侵食戦闘機の破壊まで<br>あと少しだ。"""
NpcComOnLanding#1,"""未使用"""
NpcComOnTimeNotice#1,"""……侵食レベルがかなり深刻だ。<br>破壊を急げ、奪われてしまうぞ！"""
NpcComOnSuccess#1,"""侵食戦闘機の破壊を確認。<br>よくやってくれた。"""
NpcComOnFailure#1,"""……戦闘機の反応、消失。<br>ダーカーめ、アレを奪って<br>何をする気だ……？"""
