linewindow#0,"""<br>『フォトンアーツ／テクニックディスク』について<br>"""
text00#0,"""『フォトンアーツ／テクニックディスク』について"""
text01#0,"""フォトンアーツ／テクニックディスクの習得について、説明します。<br><br>フォトンアーツ及びテクニックは、初期に登録されているもの以外は<br>「ディスク」を「習得」することで使用できるようになります。"""
text02#0,"""フォトンアーツディスク／テクニックディスクの習得について<br>説明します。<br><br>フォトンアーツ及びテクニックは、初期に登録されているもの以外は<br>「ディスク」を「習得」することで使用できるようになります。<br><br>まず、習得したいフォトンアーツディスク／テクニックディスクを<br>アイテムパックから選択し「使う」を選ぶことで、習得できます。<br>ただし、既に習得しているレベルよりレベルの低いディスクや<br>必要パラメータを満たしていないディスクは使用できません。"""
text03#0,"""習得した後、メインメニューから「武器装備」を選び<br>武器の項目を選択します。<br><br>武器パレットの空欄になっている箇所を選びましょう。"""
text04#0,"""すると、登録可能なフォトンアーツ一覧、テクニック一覧に<br>習得済みのものが表示されますので選択しましょう。<br><br>習得できるフォトンアーツ／テクニックの数には上限はありません。<br>ディスクを使用しても損はないので、どんどん習得しましょう。"""
11_voice_NPC_5003_104#0,"""フォトンアーツってさ、習得しただけで<br>使えるようになると思ってたら<br>大間違いなんだよな。"""
text102#0,"""武器パレットにセッティングして<br>ようやく使えるようになるって<br>ついこの前まで知らなかったんだよ。"""
text103#0,"""いやあ、あの時は赤っ恥かいたぜ……<br>まあ、恥は掻き捨て。間違えた方が<br>覚えるからいいんだけどさ。"""
text104#0,"""相棒、お前は大丈夫か？<br>覚えただけで満足してたりしないよな？"""
text105#0,"""……なんだか話してたら<br>おれも気になってきた。ちょっと<br>武器パレットいじってみようぜ。"""
