name01#0,"""Echo"""
name01#1,"""エコー"""
text01#0,"""แฮ่ก แฮ่ก......<br>ในที่สุดก็จบซะที"""
11_voice_NPC_5002_104#0,"""ถึงจะรู้อยู่แล้วก็เถอะ<br>แต่แนวหน้านี่มันก็ลำบากจริงๆ เลยนะ"""
text03#0,"""เพียงแต่ ตัวเธอเองก็ใช่ว่าจะ<br>เก่งแบบปุบปับขึ้นมาซักหน่อยนี่เนอะ"""
text04#0,"""สำหรับเรื่องนั้น ชั้นที่เห็นเธอ<br>ตั้งแต่พึ่งเข้ามาใหม่ๆ ย่อมรู้ดีที่สุด......"""
text05#0,"""......ครั้งหน้าชั้นต้องพยายามให้ยิ่งกว่านี้!<br>เอาล่ะ กลับกันเถอะ!"""
text01#1,"""はぁ、はぁ……<br>ようやく終わったぁ。"""
11_voice_NPC_5002_104#1,"""わかりきったことだけど<br>前衛って、たいへんだね。"""
text03#1,"""でも、きみだっていきなり<br>強くなったわけじゃないもんね。"""
text04#1,"""それは、新人だった頃を見てる<br>あたしが一番よく知ってるもんね……"""
text05#1,"""……また頑張ろうっと！<br>さ、帰還しましょう。"""
