name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>これから「ウォンドの基礎」に<br>ついて訓練します！"""
text02#0,"""エトワールは<red>近接攻撃<c>にくわえて<br><red>強力な防御手段<c>と<red>支援スキル<c>を持つ<br>後継クラスです。"""
text03#0,"""武器は<red>ダブルセイバー<c>と<br><red>デュアルブレード<c>、<red>ウォンド<c>の<br>３つを使って戦います。"""
text04#0,"""今回は、ウォンドを使った<br>エトワールの戦い方を学びます。<br>では、さっそく始めましょう！"""
text05#0,"""ウォンドは、攻撃の最中であっても<br><red>常に移動することができる<c>ので<br>流れるように攻撃を当てられます！"""
text06#0,"""<red>ＰＡ「ブラックホールラプチャー」を<br>移動しながら命中<c>させてみましょう！<br>前方に敵を集める効果もありますよ！"""
text101#0,"""課題１：<yellow>ＰＡをエネミーに使用する<c>"""
train_title#0,"""課題１：<yellow>ＰＡをエネミーに使用する<c>"""
tut_title#0,"""フォトンアーツについて"""
text100#0,"""・<%WeaponAction>と<%PhotonArts>でフォトンアーツを発動"""
text100_3b#0,"""・<%PhotonArts>でフォトンアーツを発動"""
tut_win_title#0,"""『エトワールウォンドの武器アクション』について"""
tut_win_text100#0,"""エトワールウォンドは<br>ＰＡ中に表示されるガイドに合わせて<br>武器アクションを押すことで<br>範囲が狭くなる代わりに、威力の高い攻撃<br>「フォーカスＰＡ」を放つことができます。<br><br>戦況によって通常のＰＡと<br>フォーカスＰＡをうまく使い分けましょう。"""
tut_win_text101#0,"""エトワールウォンドは<br>武器アクションを行うことで<br>移動も可能なガード「チャージプロテクト」を<br>発動することができます。<br><br>また、「エトワールウォンドギア」を<br>習得している場合、ギアゲージを消費して<br>ガード状態を維持することもできます。"""
