un_012160_0010#0,"""อ๊ะ สวัสดีค่ะ"""
un_012160_0020#0,"""เอ๊ะ...จะถามเรื่อง Haddred อีกแล้วเหรอ?<br>คุณ <%me><br>ดูคุณสนใจเรื่องเจ้านั่นจังนะคะ"""
un_012160_0030#0,"""เจ้านั่นเป็นผู้ทรยศ<br>ไม่มีได้เป็นอะไรที่มากกว่านั้น <br>หรือน้อยกว่านั้นหรอกค่ะ"""
un_012160_0040#0,"""...เพราะฉะนั้น<br>จึงไม่มีอะไรจะบอกคุณค่ะ"""
un_012160_0050#0,"""เจ้านั่นเอง ชอบเอาแต่วิ่งตามคำสั่งอย่างเดียว<br>มาตั้งแต่สมัยก่อนแล้ว<br>ใช่ เหมือนกับชั้นนี่แหละ"""
un_012160_0060#0,"""เรื่องที่จะเล่าก็มีเพียงเท่านี้ล่ะค่ะ<br>ไม่มีอะไรที่จะมีค่าคู่ควรอีกแล้ว"""
un_012160_0070#0,"""ลองคิดกลับกันดูสิ"""
un_012160_0080#0,"""ลองคิดถึงเหตุผลที่เค้าทรยศดูสิ"""
un_012160_0090#0,"""คิดกลับกัน... หรือคะ?<br>หมายถึงให้ชั้นคิดว่า<br>เค้าทรยศตอนไหนงั้นหรือคะ?"""
un_012160_0100#0,"""ให้คิดถึงเหตุผลที่เค้าทรยศ หรือคะ?<br>ให้ลองเอาตัวเองเป็นแทนตัวเค้า<br>แล้วลองคิดถึงเหตุที่น่าจะทำให้ทรยศเหรอคะ..."""
un_012160_0110#0,"""นั่นสินะคะ...<br>หรือจะมีคำสั่งที่ไม่สามารถฝ่าฝืนได้ลงมา?<br>คำสั่งที่ถ้าไม่ทรยศก็ไม่สามารถทำให้ภารกิจลุล่วงได้?"""
un_012160_0120#0,"""หรือ...ไม่ก็..."""
un_012160_0130#0,"""มีคำสั่งลงมาว่าให้ทรยศตรงๆ"""
un_012160_0140#0,"""...เดี๋ยวนะคะ<br>พวกที่บอกว่า Haddred คือผู้ทรยศ<br>ก็เป็นคนเดียวกับที่สั่งให้ชั้นไปเก็บเค้า"""
un_012160_0150#0,"""เห็นออกคำสั่งมาจริงจังขนาดนั้น<br>เลยคิดไปเองว่าต้องมีการยืนยันแล้ว<br>ว่าหนึ่งในพวกนั้นถูกทรยศแน่ๆ"""
un_012160_0160#0,"""ถ้าอย่างนั้น... เป็นคำสั่งของใครกัน?<br>ควรจะเป็นคนที่สามารถออกคำสั่งเด็ดขาด<br>และมีตำแหน่งอยู่เหนือเจ้าหน้าที่ในห้องวิจัยด้วย..."""
un_012160_0170#0,"""...แค่สันนิษฐานอย่างเดียว<br>คงไม่สามารถหาคำตอบได้แน่"""
un_012160_0180#0,"""แต่ยังมีคำถามอีกเรื่องนึง<br>คือทำไมตอนนั้นเค้าไม่กลืนชั้น<br>เข้าไปพร้อมกับพวก D-arkers ด้วย"""
un_012160_0190#0,"""ถ้าเค้าคิดจะทรยศจริงๆ ล่ะก็<br>ไม่น่าปล่อยให้คนที่ตามล่าเค้าอย่างชั้น<br>มีชีวิตรอดต่อไปได้นี่..."""
un_012160_0200#0,"""Haddred...<br>คิดอะไรอยู่กันแน่ ไม่สิ <br>เกิดอะไรขึ้นกับเค้ากันแน่...?"""
un_012160_0210#0,"""A.P.238/4/14"""
un_012160_0010#1,"""あ、どうも、こんにちは。"""
un_012160_0020#1,"""え……またハドレッドのこと？<br><%me>さん<br>あいつのことをよく気にかけますね。"""
un_012160_0030#1,"""あいつは裏切り者です。<br>それ以上でもそれ以下でも<br>ありません。"""
un_012160_0040#1,"""……だから<br>もう話すことなんてないですよ。"""
un_012160_0050#1,"""あいつにも過去はなく<br>ただ命令に従うだけだった。<br>そう、わたしと同じように。"""
un_012160_0060#1,"""話があるとしたら、この程度です。<br>何の参考にもなりません。"""
un_012160_0070#1,"""逆に考えてみよう"""
un_012160_0080#1,"""裏切った理由を考えてみよう"""
un_012160_0090#1,"""逆に、ですか？<br>わたしだったら、どういうときに<br>裏切るか、ってことですか？"""
un_012160_0100#1,"""裏切った理由を考える、ですか？<br>自分に置き換えてみて<br>裏切るような状況って……"""
un_012160_0110#1,"""そうですね……<br>とても従えないような命令が出た？<br>裏切らなければ達成できない命令？"""
un_012160_0120#1,"""あとは、あるいは……"""
un_012160_0130#1,"""裏切れ、という命令が出た場合。"""
un_012160_0140#1,"""……待ってくださいね。<br>わたしに始末の命令を下した連中は<br>ハドレッドが裏切ったと言いました。"""
un_012160_0150#1,"""あの必死さから考えれば<br>彼らの中では裏切ったという<br>認識で違いないのでしょう。"""
un_012160_0160#1,"""だとすると……誰の命令？<br>管理者である研究室を飛び越えて<br>強権を振るえるような相手は……"""
un_012160_0170#1,"""……推論だけでは、これ以上の<br>答えは見えてきませんね。"""
un_012160_0180#1,"""でもあのとき、ダーカーと一緒に<br>わたしを喰わなかった理由が<br>見つからない。"""
un_012160_0190#1,"""ただ裏切っただけならば<br>追撃者のわたしを<br>見逃すことはないはず……"""
un_012160_0200#1,"""ハドレッド……<br>何を考えているの。<br>ううん、何があったの……？"""
un_012160_0210#1,"""A.P.238/4/14"""
