ssc_509030_0010#0,"""ふう。<br>あと少しね。"""
ssc_509030_0020#0,"""……あら？<br>来てくれたのね。"""
ssc_509030_0030#0,"""お墓の手入れ？"""
ssc_509030_0040#0,"""家族と話をしていたの？"""
ssc_509030_0050#0,"""ええ。<br>放っておくと、すぐに雪に埋もれちゃうの。"""
ssc_509030_0060#0,"""そうね……。<br>両親と、おじいちゃんと……。"""
ssc_509030_0070#0,"""実は、その……。"""
ssc_509030_0080#0,"""ここには、誰も眠っていないの。"""
ssc_509030_0090#0,"""お父さんも、お母さんも、<br>おじいちゃんも……。"""
ssc_509030_0100#0,"""お父さんと、お母さんのことは、<br>あまり覚えていないの。"""
ssc_509030_0110#0,"""わたしたちが、まだ小さいときに、<br>ラトヴァ山のほうで遭難して、それっきりだって。"""
ssc_509030_0120#0,"""だから、わたしたちは、<br>おじいちゃんに育てられたの。"""
ssc_509030_0130#0,"""この、雪の世界で暮らす方法は、<br>おじいちゃんが全部教えてくれたわ。"""
ssc_509030_0140#0,"""そんな、おじいちゃんも、<br>少し前の吹雪の夜に……。"""
ssc_509030_0150#0,"""エアリオの人たちが、<br>捜索を手伝ってくれたんだけど。"""
ssc_509030_0160#0,"""どこで遭難したのか、<br>手がかりもつかめなかったわ。"""
ssc_509030_0170#0,"""それ以来、わたしたちは、<br>自分たちだけで生きていくことになったの。"""
ssc_509030_0180#0,"""エアリオの人たちは、<br>セントラルシティへの移住を勧めてくれたわ。"""
ssc_509030_0190#0,"""でも、わたしたちは、<br>おじいちゃんの遺志を継ごうって決めてたから。"""
ssc_509030_0200#0,"""ここに残って、活動してたってわけ。"""
ssc_509030_0210#0,"""だけど、なんだかずっと、<br>うまくいってなかったのよね……。"""
ssc_509030_0220#0,"""みんな、一生懸命に、<br>自分のできることをやろうとしてたんだけど。"""
ssc_509030_0230#0,"""ひとりひとりの気持ちが、<br>全然、かみ合ってなかった。"""
ssc_509030_0240#0,"""方針の違いで、<br>よくケンカしたりもしてた。"""
ssc_509030_0250#0,"""なにがいけないのか、<br>なにが間違っているのか。"""
ssc_509030_0260#0,"""わからないまま、<br>時間だけが過ぎていったわ。"""
ssc_509030_0270#0,"""その間違いに気づいたのは、<br>イルマが失踪してから。"""
ssc_509030_0280#0,"""あなたたちが、来てくれてからね。"""
ssc_509030_0290#0,"""ずっと、間違えたままじゃなくて、<br>本当によかった。"""
ssc_509030_0300#0,"""あなたたちのおかげで、<br>これからは、間違えずに前に進んでいけると思う。"""
ssc_509030_0310#0,"""“ロストセントラル”のことも。"""
ssc_509030_0320#0,"""この先に待っている<br>強大な敵との戦いのことも。"""
ssc_509030_0330#0,"""……なにかがあったら、<br>すぐに教えてね。"""
ssc_509030_0340#0,"""今度は、わたしたちが、<br>あなたを助ける番だから。"""
ssc_509030_0350#0,"""その……、わたしひとりじゃ、<br>たいした力はないかもしれないけど。"""
ssc_509030_0360#0,"""５人そろえば、<br>誰にも負けない力を出せるから。"""
ssc_509030_0370#0,"""あらためて、約束するわ。"""
ssc_509030_0380#0,"""おじいちゃんと……、<br>お父さんとお母さんの前で。"""
ssc_509030_0390#0,"""あなたたちの戦いを、<br>全力でサポートするって。"""
ssc_509030_0400#0,"""頼りにしてよね。"""
