name_7443#0,"""マリモ"""
ssn_015620_0001#0,"""調査のときも、戦いのときも、<br>万全の準備をしてください。"""
ssn_015620_0002#0,"""無事に戻ること。<br>それがなにより大切なことです。"""
ssn_015620_0101#0,"""すみません、<br>ちょっといいですかー。"""
ssn_015620_0102#0,"""あなたにまた、調査のお手伝いを、<br>お願いしようと思いまして。"""
ssn_015620_0103#0,"""ただ……ちょっと大変な場所なので、<br>どうしようか悩んでいるんですよねー。"""
ssn_015620_0104#0,"""とりあえず、話だけでも<br>聞いてもらえると、うれしいです。"""
ssn_015620_0201#0,"""調査に行ってもらいたいのは、<br>メディオラ外郭第１区の奥のほうなんです。"""
ssn_015620_0202#0,"""手ごわいエネミーがたくさんいる、<br>大変危険な場所です。"""
ssn_015620_0203#0,"""危険は承知で、<br>行ってきて、もらえないでしょうか？"""
ssn_015620_0301#0,"""そうですか……。<br>では、仕方ないですね。"""
ssn_015620_0401#0,"""この世界には、まだ見たことのない景色が<br>たくさんあるんでしょうね。"""
ssn_015620_0402#0,"""あなたも、新たな景色を見つけたときは、<br>ぜひ、わたしに教えてください。"""
ssn_015620_0403#0,"""楽しみにしていますよー。"""
