ssc_504070_0010#0,"""Ah, you're here."""
ssc_504070_0020#0,"""Was there something you needed?"""
ssc_504070_0030#0,"""Is there something wrong?"""
ssc_504070_0040#0,"""No, I was just reflecting on<br>the recent battle with Vael."""
ssc_504070_0050#0,"""An army of Starless appeared across<br>Halpha when Vael arrived."""
ssc_504070_0060#0,"""The amount of Starless was tremendous."""
ssc_504070_0070#0,"""There were so many of them that they<br>stretched to the ends of the horizon."""
ssc_504070_0080#0,"""Fortunately, we had prepared, too."""
ssc_504070_0090#0,"""ARKS from every region joined in<br>on the training every day."""
ssc_504070_0100#0,"""That training really paid off in battle."""
ssc_504070_0110#0,"""Everyone on the front lines was well-prepared."""
ssc_504070_0120#0,"""Neither myself nor any of the other region leaders<br>had to give much detailed instruction."""
ssc_504070_0130#0,"""Aina and Manon were outstanding.<br>They pulled more than their weight in the battle."""
ssc_504070_0140#0,"""Yes, the two of them did a wonderful job."""
ssc_504070_0150#0,"""Aina took command of her trainees and fought<br>whenever and wherever they could."""
ssc_504070_0160#0,"""Manon was assisting the smaller squadrons<br>to keep the front lines bolstered."""
ssc_504070_0170#0,"""Thanks to them,<br>I was able to focus on defending Central City."""
ssc_504070_0180#0,"""I'm truly grateful to both<br>of them for their help."""
ssc_504070_0190#0,"""They've both gotten much stronger."""
ssc_504070_0200#0,"""I'll continue to get even stronger, too."""
ssc_504070_0210#0,"""Yes, very much so."""
ssc_504070_0220#0,"""In that case, you'll have to<br>continue working quite hard."""
ssc_504070_0230#0,"""The future of ARKS rests on<br>the shoulders of you three."""
ssc_504070_0240#0,"""However, I must remind myself that we<br>cannot rely on your strength alone."""
ssc_504070_0250#0,"""We will fall if the rest of us cannot<br>hold up our end of the bargain."""
ssc_504070_0260#0,"""The fight hasn't ended yet..."""
ssc_504070_0270#0,"""We are working on a system to bolster our strenth."""
ssc_504070_0280#0,"""The cooperation among the regions was<br>an example of this system's success."""
ssc_504070_0290#0,"""Going forward, I would like for<br>a more integrated approach."""
ssc_504070_0300#0,"""First, we need to learn each other's<br>strengths and weaknesses."""
ssc_504070_0310#0,"""The Lecielians have also agreed to<br>assist us in developing new equipment."""
ssc_504070_0320#0,"""And of course, we will need to<br>train the new ARKS."""
ssc_504070_0330#0,"""I've already decided that Aina will<br>train the new lot of trainees.."""
ssc_504070_0340#0,"""There's a possibility that each and every<br>ARKS will compare to your strength one day."""
ssc_504070_0350#0,"""I hope so."""
ssc_504070_0360#0,"""My back has been killing me lately..."""
ssc_504070_0370#0,"""Yes, please look forward to it."""
ssc_504070_0380#0,"""Our goal is to lighten your burden,<br>even if it's just a bit."""
ssc_504070_0390#0,"""Just like with Aina and Manon,<br>everyone is growing day by day<br>because of your example."""
ssc_504070_0400#0,"""I want you to continue to be our symbol of hope."""
ssc_504070_0410#0,"""We're counting on you, Guardian."""
