IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""จงกำจัด $(0)!<br>ภารกิจนี้จะล้มเหลวหาก Partner พลังชีวิตหมดสองครั้ง"""
TrialAbstract#0,"""จงกำจัด $(0)!<br>ภารกิจนี้จะล้มเหลวหาก Partner พลังชีวิตหมดสองครั้ง"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
TrialAbstract#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
NpcComOnFailure#0,"""เป็นเรื่องที่น่าเสียดายแต่ก็ช่วยไม่ได้<br>ARKS เป้าหมายนั้นทางนี้จะเป็นผู้ที่รับกลับ......<br>เอ๊ะ อ้าว......? ปฏิกิริยามันหายไปแล้ว......?"""
NpcComOnDownB#0,"""ARKS เป้าหมายกำลังได้รับบาดเจ็บหนัก<br>ในกรณีที่ทำล้มเหลวในครั้งต่อไป<br>ขอแนะนำให้ถอนกำลังออกจากที่นั่น"""
NpcComOnFailure#1,"""残念ですが、仕方がありません。<br>対象のアークスはこちらで回収を……<br>って、あれ……？\u3000反応消失……？"""
NpcComOnDownB#1,"""対象のアークスに多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnFailure#2,"""......ได้แค่นี้สินะ ช่วยไม่ได้<br>ARKS เป้าหมายทางนี้จะเป็นผู้ที่รับกลับ......<br>......อะไรนะ? ปฏิกิริยาหายไปแล้วงั้นเรอะ......?"""
NpcComOnDownB#2,"""ARKS เป้าหมายได้รับบาดเจ็บหนักเกินไปแล้ว<br>ในกรณีที่พลังชีวิตหมดครั้งต่อไป<br>จะทำการบังคับเป้าหมายให้ถอนตัวออกมาทันที"""
NpcComOnFailure#3,"""……ここまでだ、仕方があるまい。<br>対象のアークスはこちらで回収を……<br>……何？\u3000反応が消失しただと……？"""
NpcComOnDownB#3,"""対象のアークスに負担がかかりすぎだ。<br>次、戦闘不能になった場合には<br>強制的に対象を撤退させるぞ。"""
NpcComOnFailure#4,"""......อือ ถึงจะน่าเสียดายแต่ก็น่าจะได้แค่นี้ล่ะค่ะ<br>ARKS เป้าหมายนั้นทางนี้จะเป็นคนรับกลับ......<br>เอ๊ะ เอ๋? ปฏิกิริยามันหายไปแล้ว......?"""
NpcComOnDownB#4,"""อ๊า ARKS ที่กำลังต่อสู้อยู่ด้วยกันรับบาดเจ็บ<br>หนักเกินไปแล้วค่ะ! หากถูกจัดการครั้งต่อไป<br>ถึงแม้จะต้องบังคับแต่ก็คงต้องให้ถอนตัวแล้วล่ะค่ะ!"""
NpcComOnFailure#5,"""……うう、残念ですけどここまでです。<br>対象のアークスさんを回収して……<br>って、あれあれっ？\u3000反応が消えた……？"""
NpcComOnDownB#5,"""ああっ、一緒に戦ってるアークスさんに<br>負担がかかりすぎです！\u3000次やられたら<br>無理矢理でも撤退させちゃいます！"""
