un_043080_0001#0,"""A.P.2028/x/xx"""
un_043080_0010#0,"""呀，來得正好。<br><%me>您也要<br>一起複習一下ARKS的歷史嗎？"""
un_043080_0020#0,"""因為看火継小姐和阿有弟弟都挺有興趣的<br>我正給他們展示各種資料呢。"""
un_043080_0030#0,"""哈啊……也不算是興趣吧，我前段時間<br>還一直偷偷摸摸地在調查這類記錄呢……"""
un_043080_0040#0,"""可現在這麼爽快地展示給了我<br>我就感覺之前的努力都算什麼啊……"""
un_043080_0050#0,"""雖然ARKS曾經也有段時期<br>隱藏起了過去的歷史，但在組建起現在的體制後<br>基本都是全部公開的。"""
un_043080_0060#0,"""畢竟也沒什麼虧心事<br>是要向大家隱瞞的嘛！"""
un_043080_0070#0,"""雪拉。<br>我想問一下，這個名字叫錫安的人……"""
un_043080_0080#0,"""阿有弟弟，你可真有眼光。<br>竟然盯上了關於錫安的記載。"""
un_043080_0090#0,"""錫安這個人，是個什麼樣的人呀？"""
un_043080_0100#0,"""……恩－－，可能這麼講有點概念化<br>不過錫安她被稱為我們這邊宇宙的觀測者。<br>是個記錄宇宙歷史的，像是圖書館一般的存在。"""
un_043080_0110#0,"""她擁有著從宇宙誕生之初起<br>到現如今為止的的所有記錄<br>換句話說，可以算是個『全知存在』了呢。"""
un_043080_0120#0,"""『全知存在』？<br>意思是什麼都知道嗎？"""
un_043080_0130#0,"""我覺得她確實無所不知哦。<br>不過，充其量也只是知道罷了。"""
un_043080_0140#0,"""可同時，她卻也不擅長把握人的感情<br>也正因如此，她才尋求起了<br>與人類……與光子族的交流。"""
un_043080_0150#0,"""……光子族。"""
un_043080_0160#0,"""錫安傳授給了光子族運用光子的方法<br>而他們也以此為基礎，得到了發展。"""
un_043080_0170#0,"""不過，他們就是有些太過發展了<br>創造了許多多餘的東西<br>甚至還創造出了黑暗種的根源－－【深遠之暗】。"""
un_043080_0180#0,"""……在創造出【深遠之暗】之前<br>光子族是不是也幹了好多事情？<br>利用錫安，做了什麼亂七八糟的。"""
un_043080_0190#0,"""是的，你很了解嘛。<br>而這「做了什麼亂七八糟的」的結果<br>也就導致了【深遠之暗】的出現。"""
un_043080_0200#0,"""光子族試圖製作出錫安的複製體<br>可他們失敗了一次又一次，而最後一次最大的失敗<br>便誕生出了【深遠之暗】。"""
un_043080_0210#0,"""也就是說……錫安是個很厲害的人<br>光子族是一群很邪惡的人……<br>而這兩方，現在都已經不在了是嗎？"""
un_043080_0220#0,"""略去“為了發展”之類的內容的話<br>雖然這麼總結有那麼些粗糙<br>不過這個認識是沒錯的。"""
un_043080_0230#0,"""而我呢，就是這厲害的人<br>錫安的孩子夏歐的孩子。<br>所以說，我算是錫安的孫輩！"""
un_043080_0240#0,"""很厲害的人的……孫輩？<br>難不成，雪拉其實是個很厲害的人……？"""
un_043080_0250#0,"""咳咳，不加這個“難不成”，我也是很厲害的人！<br>你可以再多尊敬我一點哦！"""
un_043080_0260#0,"""…………"""
un_043080_0270#0,"""是有什麼在意的嗎？"""
un_043080_0280#0,"""是有什麼疑問嗎？"""
un_043080_0290#0,"""啊，倒沒有。<br>雖然確實……也有點啦。"""
un_043080_0300#0,"""……倒也不是<br>應該說，我不是對ARKS的事情抱有疑問。"""
un_043080_0310#0,"""聖母拜託我們收集的情報之中<br>有一條「光子族的所在之處」。<br>……我在想，收集這個的目的是什麼呢？"""
un_043080_0320#0,"""唔－－，意思是並沒有調查ARKS的歷史<br>反倒是從最初的由來開始查起的麼？<br>還是說，真正的目的其實另有其他……？"""
un_043080_0330#0,"""……可事到如今，也搞不清楚了啊。"""
