name01#0,"""Kabrakan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""If we could continue to head north, it'd <br>be easier for us. Looks like we have to <br>take a detour around the western path..."""
skit02#0,"""/ci4 3 But we're only left with the western <br>path so we can only head there, isn't it? <br>Come on, let's go."""
skit03#0,"""Alright, I'll start the Teleporter.<br>If we use it, we will move on smoothly."""
skit04#0,"""/ci2 2 It's a detour on the western path.<br>Alright, since we don't have much time, <br>let's use the Teleporter to move ahead."""
skit01#1,"""このまま北へ行ければ<br>ラクなんやけど、崩れとるな。<br>西の道は遠回りになるんよなぁ……"""
skit02#1,"""/ci4 3 でも、西しか道がないなら<br>そっちにいくしかないでしょう。<br>さ、進みましょう。"""
skit03#1,"""おっ、転送装置が起動しとる！<br>これ使えばさくさくっと進めるで！"""
skit04#1,"""/ci2 2 西の道は遠回りなのね。<br>そうね、時間は無駄に出来ないし<br>転送装置使って進みましょう。"""
skit01#0,"""If we could continue to head north, it'd <br>be easier for us. Looks like we have to <br>take a detour around the western path..."""
skit02#0,"""But we're only left with the western <br>path so we can only head there, isn't it? <br>Come on, let's go."""
skit03#0,"""Alright, I'll start the Teleporter.<br>If we use it, we will move on smoothly."""
skit04#0,"""It's a detour on the western path.<br>Alright, since we don't have much time, <br>let's use the Teleporter to move ahead."""
skit01#1,"""このまま北へ行ければ<br>ラクなんやけど、崩れとるな。<br>西の道は遠回りになるんよなぁ……"""
skit02#1,"""でも、西しか道がないなら<br>そっちにいくしかないでしょう。<br>さ、進みましょう。"""
skit03#1,"""おっ、転送装置が起動しとる！<br>これ使えばさくさくっと進めるで！"""
skit04#1,"""西の道は遠回りなのね。<br>そうね、時間は無駄に出来ないし<br>転送装置使って進みましょう。"""
