ar_or011300#0,"""No.1<br>ไปพบกับ Zig ที่หน้า Teleporter"""
ar_or011301#0,"""No.2<br>ใช้งาน MyRoom Console<br>และทำการ Desynthesis"""
ar_or011302#0,"""No.3<br>ใช้งาน MyRoom Console<br>และทำการ Craft"""
ar_or011303#0,"""No.4<br>ใช้งาน MyRoom Console<br>และทำการตั้งค่า Signboard"""
ar_or011304#0,"""No.5<br>ใช้งาน Visiphone<br>และค้นหา Crafter"""
ar_or011300#1,"""No.1<br>テレポーターの前で「ジグ」に会う"""
ar_or011301#1,"""No.2<br>マイルーム端末にアクセスし、<br>アイテム分解を実行する"""
ar_or011302#1,"""No.3<br>マイルーム端末にアクセスし、<br>クラフトを実行する"""
ar_or011303#1,"""No.4<br>マイルーム端末にアクセスし、<br>看板設定を行う"""
ar_or011304#1,"""No.5<br>ビジフォンにアクセスし、<br>クラフター検索を行う"""
ar_or011300#2,"""ไปพบกับ Zig ที่หน้า Teleporter"""
ar_or011301#2,"""ทำการ Desynthesis"""
ar_or011302#2,"""ทำการ Craft"""
ar_or011303#2,"""ตั้งค่า Signboard"""
ar_or011304#2,"""ค้นหา Crafter"""
ar_or011300#3,"""テレポーターの前で「ジグ」に会う"""
ar_or011301#3,"""アイテム分解を実行する"""
ar_or011302#3,"""クラフトを実行する"""
ar_or011303#3,"""看板設定を行う"""
ar_or011304#3,"""クラフター検索を行う"""
