un_012150_0010#0,"""ท่าน <%me><br>สวัสดีค่ะ<br>มีเรื่องจะคุยกับชั้นเหรอคะ?"""
un_012150_0020#0,"""เกี่ยวข้องยังไงกับ... Haddred งั้นเหรอคะ<br>ทำไมท่านถึงสนใจเรื่องนั้น?"""
un_012150_0030#0,"""การถามข้อมูลเรื่องนี้อาจทำให้<br>ชีวิตท่านตกอยู่ในอันตรายก็ได้นะคะ<br>...แต่ถ้าอยากรู้ ก็จะเล่าให้ฟังค่ะ"""
un_012150_0040#0,"""...Haddred กับชั้น<br>เคยเป็นเพื่อนร่วมปฏิบัติภารกิจกันค่ะ"""
un_012150_0050#0,"""นั่นก็คือ ทีแรกแล้ว<br>Haddred เอง ก็เป็น ARKS คนนึง<br>เหมือนท่านนั่นแหละค่ะ"""
un_012150_0060#0,"""Dragorii ที่เป็น ARKS ?"""
un_012150_0070#0,"""Haddred เป็นใคร?"""
un_012150_0080#0,"""สำหรับชั้นแล้ว ไม่ได้รู้สึกอะไรเป็น<br>พิเศษค่ะมันเป็นเรื่องธรรมดานะคะ...<br>ไม่รู้คนอื่นจะมองยังไง"""
un_012150_0090#0,"""แต่ Haddred เป็น ARKS<br>มาตั้งแต่สมัยยังไม่โตเต็มวัยแน่นอนค่ะ<br>เพราะชั้นอยู่กับเค้าตลอด"""
un_012150_0100#0,"""ถึงจะถามว่าเป็นใคร...<br>คำตอบก็คือตามที่เห็นนั่นล่ะค่ะ"""
un_012150_0110#0,"""เค้าเป็นมังกรที่โตมาพร้อมกับชั้นตั้งแต่เด็กๆ<br>นั้นคือเรื่องทั้งหมด<br>ที่ชั้นรู้เกี่ยวกับ Haddred"""
un_012150_0120#0,"""Haddred พูดไม่ได้ค่ะ เพราะแบบนั้น <br>ถึงจะเป็นชั้นที่อยู่กับเค้ามาตลอด ก็ยังไม่<br>สามารถเข้าใจจิตใจลึกๆ ของเค้าได้อยู่ดี"""
un_012150_0130#0,"""ชั้นไม่รู้ว่าทำไมเค้าถึงหักหลังกัน<br>ชั้นไม่รู้อะไรเลย"""
un_012150_0140#0,"""สำหรับเจ้าแล้ว<br>ชั้นเป็นอะไรกันแน่<br>ขนาดแค่เรื่องนี้ ชั้นก็ยังไม่เข้าใจเลย"""
un_012150_0150#0,"""A.P.238/4/19"""
un_012150_0010#1,"""<%me>さん。<br>どうもこんにちは。<br>わたしに話でもあるんですか？"""
un_012150_0020#1,"""ハドレッドとの関係……ですか。<br>どうしてそんなことに興味を？"""
un_012150_0030#1,"""その詮索癖は、いずれあなた自身の<br>身を滅ぼすかもしれませんよ。<br>……まあ、いいです。話しましょう。"""
un_012150_0040#1,"""……ハドレッドとわたしは<br>共に任務に従事していました。"""
un_012150_0050#1,"""つまり、もともとは<br>ハドレッドもアークスにいたと<br>いうことになりますね。"""
un_012150_0060#1,"""龍族がアークスに？"""
un_012150_0070#1,"""ハドレッドは何者？"""
un_012150_0080#1,"""わたしにはそれが普通でしたから<br>違和感はとくになかったのですが……<br>他には見られませんね。"""
un_012150_0090#1,"""でも、ハドレッドは幼生体のころから<br>アークスにいたはずです。<br>ずっとわたしと一緒でしたから。"""
un_012150_0100#1,"""何者と言われても……<br>見たままの姿が答えです。"""
un_012150_0110#1,"""幼いころからわたしと共に育った龍。<br>それがわたしの知っている<br>ハドレッドの全てです。"""
un_012150_0120#1,"""ハドレッドは喋りません。<br>だから、ずっと一緒でしたが<br>わたしにもその心中はわかりません。"""
un_012150_0130#1,"""裏切った理由もわかりません。<br>なにもわからないんです。"""
un_012150_0140#1,"""あいつにとって<br>わたしは一体なんだったのか。<br>それすら、わかりません。"""
un_012150_0150#1,"""A.P.238/4/19"""
