st_058080_0010#0,"""應該走了很長的路了……<br>但是、離繭還很遠……！"""
st_058080_0020#0,"""敵人的數量還在不斷增加……！<br><%me>桑！　上面！"""
st_058080_0030#0,"""趴下！"""
st_058080_0040#0,"""呼、真是千鈞一髮啊！<br>你們兩個都要感謝和尊敬我。"""
st_058080_0050#0,"""瑪露桑！？<br>爲什麼在這裏、不、是怎麼做到的！？"""
st_058080_0060#0,"""當然是我們的神的力量。<br>如果世界消失了的話信仰也就沒有了<br>就這樣說服了。"""
st_058080_0070#0,"""那件事很糟糕<br>神好像也感覺到了。<br>暫時的借用神威。"""
st_058080_0080#0,"""啊、這麼方便的神的使用方法……"""
st_058080_0090#0,"""哈！　你在說什麼啊妖精！<br>神什麼的就不用說了<br>这都是为了方便！"""
st_058080_0100#0,"""想做的話就可以做到<br>但因為麻煩就不做、這就是神啊！"""
st_058080_0110#0,"""這樣的神難得<br>這麼有幹勁<br>就當是賺到了吧！"""
st_058080_0120#0,"""……而且、趕來的<br>不只是我一個人哦！"""
st_058080_0130#0,"""為了哈莉艾特大人！"""
st_058080_0140#0,"""爲了守護輝士！"""
st_058080_0150#0,"""爲了拯救世界……<br>聚集了這麼多人。"""
st_058080_0160#0,"""……守護輝士殿。<br>哈莉艾特大人……拜託了！"""
st_058080_0170#0,"""障壁附近廣域戦鬥發生！<br>敵人的注意力轉向了那裏！"""
st_058080_0180#0,"""說到底就是一羣沒有意識的怪物。<br>如果有更大規模的戰鬥迹象的話<br>就會朝那邊聚集過去！"""
st_058080_0190#0,"""大家都是爲了你來的。<br>如果不回應的話……就不能說是<br>傳承中留名的守護輝士了吧？"""
st_058080_0200#0,"""……當然了！"""
st_058080_0210#0,"""……我知道！"""
name01#0,"""ハリエット軍兵士１"""
name02#0,"""ハリエット軍兵士２"""
