name_7430#0,"""잉스타드"""
ssn_014710_0001#0,"""이야, 여기 캠프 깔기 딱 좋은 곳이네요.<br>옛 구조물들도 남아있고, 쓸만한 물건도 많아서."""
ssn_014710_0002#0,"""엄청난 추위지만<br>여기면 대원들도 쉴 수 있겠어요."""
ssn_014710_0101#0,"""전 선발대 후방지원관,<br>잉스타드라고 합니다."""
ssn_014710_0102#0,"""마침 당신께 부탁드리고 싶은 게 있어서요.<br>얘기를 들어주시겠어요?"""
ssn_014710_0102_001#0,"""이미 일부는 복구가 이뤄지고 있어요.<br>다만, 육성을 위한 식재료를 조달하느라 수리에 손을 쓸 수가 없어서……."""
ssn_014710_0102_002#0,"""일을 도와주실 수 있나요?<br>맛타 크발 마기카이를 가져와 주시면 될 것 같아요."""
ssn_014710_0102_003#0,"""외부 전투가 주 임무인 아크스에겐<br>익숙치 않은 일이겠습니다만."""
ssn_014710_0102_004#0,"""다양한 농업용, 공업용 생산설비들 덕에<br>우리 아크스도 싸울 수 있는 거에요."""
ssn_014710_0102_005#0,"""보아하니 센트럴의 것과 구조는 똑같아요.<br>약간 망가져 있었지만, 간단하게 수리하면 가동시킬 수 있을 것 같아요."""
ssn_014710_0102_006#0,"""여기 크바리스는 가혹한 땅이라…….<br>먼저 식량 확보를 할 수 있다면, 대원들에게 더할 나위 없는 도움이 되겠죠."""
ssn_014710_0102_007#0,"""이미 일부는 복구가 이뤄지고 있어요.<br>다만, 육성을 위한 식재료를 조달하느라 수리에 손을 쓸 수가 없어서……."""
ssn_014710_0102_008#0,"""일을 도와주실 수 있나요?<br>맛타 크발 마기카이를 가져와 주시면 될 것 같아요."""
ssn_014710_0201#0,"""그렇군요, 많이 바쁘신가 보네요.<br>다음에 시간이 나시면 도와주세요."""
ssn_014710_0301#0,"""돌아오셨군요.<br>맛타 크발 마기카이, 가져오셨나요?"""
ssn_014710_0401#0,"""맛타 크발 마기카이를 10개 준다"""
ssn_014710_0402#0,"""그만둔다"""
ssn_014710_0501_001#0,"""네, 이 정도만 있으면 충분해요.<br>잘 크고 싱싱한 것만 골라 오셨네요."""
ssn_014710_0501_002#0,"""이야, 정말 감사합니다.<br>큰 도움이 됐어요."""
ssn_014710_0501_003#0,"""소중하게 키우도록 할게요.<br>분명 대원들에게 도움이 될 거에요."""
ssn_014710_0502#0,"""으음, 이걸로는 좀 부족하네요…….<br>미안해요, 좀 더 부탁드릴게요."""
ssn_014710_0503#0,"""……그렇군요.<br>괜찮다면, 다음에 또 부탁드릴게요."""
ssn_014710_1001#0,"""요전에는 정말<br>큰 도움이 됐어요."""
ssn_014710_1002#0,"""염치 없지만, 식재 조달을<br>한 번 더 부탁드리고 싶은데, 괜찮을까요?"""
ssn_014710_1002_001#0,"""이번에 가져와 주셨으면 하는 건<br>갓츠 크발 자리니에요."""
ssn_014710_1002_002#0,"""이런 강추위에 뒤덮인 험지에서<br>맛타 크발 마기카이과 함께 귀중한 단백질 공급원이죠."""
ssn_014710_1002_003#0,"""구할 수 있는 곳은 분명,<br>남부 크바리스……였을 거에요."""
ssn_014710_1002_004#0,"""힘드시겠지만, 부탁드릴게요.<br>그래도 무리하시면 안 돼요."""
ssn_014710_1101#0,"""그렇군요, 많이 바쁘신가 보네요.<br>다음에 시간이 나시면 도와주세요."""
ssn_014710_1201#0,"""돌아오셨군요.<br>갓츠 크발 자리니, 가져오셨나요?"""
ssn_014710_1301#0,"""갓츠 크발 자리니를 10마리 준다"""
ssn_014710_1302#0,"""그만둔다"""
ssn_014710_1401_001#0,"""네, 이 정도만 있으면<br>딱이에요!"""
ssn_014710_1401_002#0,"""……어이쿠, 집게 힘이 억세네요.<br>팔팔하기까지!"""
ssn_014710_1401_003#0,"""완벽해요.<br>이야, 정말 감사합니다."""
ssn_014710_1401_004#0,"""한 시라도 빨리<br>대원들에게 제공해 줘야겠어요."""
ssn_014710_1402#0,"""으음, 이걸로는 좀 부족하네요…….<br>미안해요, 좀 더 부탁드릴게요."""
ssn_014710_1403#0,"""……그렇군요.<br>괜찮다면, 다음에 또 부탁드릴게요."""
ssn_014710_1501#0,"""식재 조달,<br>정말 감사드립니다."""
ssn_014710_1502#0,"""한 시라도 빨리<br>대원들에게 제공해 줘야겠어요."""
ssn_014710_2001#0,"""가져와 주신 식재들은 순조롭게 육성 중이에요.<br>번식도 잘 돼 가고요."""
ssn_014710_2002#0,"""그래서 말인데, 괜찮으시다면 또 조달을 부탁드리고 싶어요.<br>그래도 될까요?"""
ssn_014710_2002_001#0,"""그 뒤로 플랜트 수리도 꽤 진행돼서,<br>취급하는 식재를 늘리고 싶거든요."""
ssn_014710_2002_002#0,"""잘만 하면 센트럴에도 뒤지지 않는 시설이 될 것 같아요.<br>……아직 설레발일 뿐이지만, 그래도 순조로워요."""
ssn_014710_2002_003#0,"""그래서, 이번엔 야채를 부탁드리고 싶어요.<br>갓츠 크발 오뇬 조달을 부탁드릴게요."""
ssn_014710_2002_004#0,"""갓츠 크발 오뇬은 중앙 크바리스에서 자생한다고 해요.<br>그럼, 기다리고 있을게요."""
ssn_014710_2101#0,"""그렇군요, 많이 바쁘신가 보네요.<br>다음에 시간이 나시면 도와주세요."""
ssn_014710_2201#0,"""돌아오셨군요.<br>갓츠 크발 오뇬, 가져오셨나요?"""
ssn_014710_2301#0,"""갓츠 크발 오뇬를 10개 준다"""
ssn_014710_2302#0,"""그만둔다"""
ssn_014710_2401_001#0,"""이 정도면 충분해요!"""
ssn_014710_2401_002#0,"""음, 모두 실하게 자란 것들이네요.<br>싱싱해서 재배하기도 쉬울 것 같아요."""
ssn_014710_2401_003#0,"""스프 재료같은 걸로 쓰면…….<br>후후……. 대원들이 기뻐하는 모습이 눈에 선하네요."""
ssn_014710_2401_004#0,"""이번에도 정말 큰 도움이 됐어요.<br>자, 일 해야지 일!"""
ssn_014710_2402#0,"""으음, 이걸로는 좀 부족하네요…….<br>미안해요, 좀 더 부탁드릴게요."""
ssn_014710_2403#0,"""……그렇군요.<br>괜찮다면, 다음에 또 부탁드릴게요."""
ssn_014710_3001#0,"""양식한 식재들을<br>어느 정도 대원들에게 배식할 수 있게 됐어요."""
ssn_014710_3002#0,"""다들 정말 기뻐하고 있어요.<br>모두 당신 덕이에요. 감사합니다."""
ssn_014710_3003#0,"""그래서 말인데, 또다른 식재 조달을 부탁드리고 싶어요.<br>괜찮나요?"""
ssn_014710_3003_001#0,"""이야, 계속 신세만 지네요.<br>매번 정말 고마워요."""
ssn_014710_3003_002#0,"""이번에 부탁드리려는 건, 삿파 크발 낫파에요.<br>이것도 북부 크바리스에서 자생하는 야채죠."""
ssn_014710_3003_003#0,"""여러 야채를 재배한다면<br>대원들의 건강관리도 수월해질 것 같아서요."""
ssn_014710_3003_004#0,"""번거로우시겠지만, 부탁드릴게요."""
ssn_014710_3101#0,"""그렇군요, 많이 바쁘신가 보네요.<br>다음에 시간이 나시면 도와주세요."""
ssn_014710_3201#0,"""돌아오셨군요.<br>삿파 크발 낫파, 가져오셨나요?"""
ssn_014710_3301#0,"""삿파 크발 낫파를 10개 준다"""
ssn_014710_3302#0,"""그만둔다"""
ssn_014710_3401_001#0,"""제대로 받았습니다.<br>정말 감사합니다!"""
ssn_014710_3401_002#0,"""음, 모두 크기도 실하고……상태도 좋네요.<br>꽃이 피면, 종자도 많이 얻을 수 있겠어요."""
ssn_014710_3401_003#0,"""이야, 이번에도 큰 도움이 됐어요.<br>또 뭔가 일이 생기면, 신세지도록 할게요."""
ssn_014710_3402#0,"""으음, 이걸로는 좀 부족하네요…….<br>미안해요, 좀 더 부탁드릴게요."""
ssn_014710_3403#0,"""……그렇군요.<br>괜찮다면, 다음에 또 부탁드릴게요."""
ssn_014710_4001#0,"""이야, 덕분에<br>지하 플랜트의 기능도 충실하게 진행중이에요."""
ssn_014710_4002#0,"""식재 관리, 기기 정비, 남은 기기 수리,<br>눈코 뜰 새가 없네요."""
ssn_014710_4003#0,"""그렇지. 혹시 괜찮으시면,<br>또 조달을 부탁드려도 될까요?"""
ssn_014710_4003_001#0,"""요즘 대원들에게서<br>과일을 먹고 싶다는 요구가 들어와서요."""
ssn_014710_4003_002#0,"""후식같은 걸로 내준다면<br>더 알찬 식단이 갖춰지겠죠."""
ssn_014710_4003_003#0,"""수고를 끼쳐서 죄송하지만, 부탁드릴게요.<br>낭보를 기대하고 있을게요."""
ssn_014710_4101#0,"""그렇군요, 많이 바쁘신가 보네요.<br>다음에 시간이 나시면 도와주세요."""
ssn_014710_4201#0,"""돌아오셨군요.<br>샷키 크발 구아바, 가져오셨나요?"""
ssn_014710_4301#0,"""샷키 크발 구아바를 10개 준다"""
ssn_014710_4302#0,"""그만둔다"""
ssn_014710_4401_001#0,"""와, 정말 맛있어 보이는데요!"""
ssn_014710_4401_002#0,"""네, 씨앗까지 제대로 담겨 있네요.<br>이 정도면 재배도 문제 없을 거에요."""
ssn_014710_4401_003#0,"""매번 도움만 받는 게,<br>정말 어떻게 사례를 드려야 할지……."""
ssn_014710_4401_004#0,"""덕분에 대원들도 식량난에서 해방됐어요.<br>다들 당신께 고마워하고 있어요."""
ssn_014710_4401_005#0,"""그렇지. 다음에, 키운 식재들로 식사를 대접하게 해주세요.<br>제가 요리도 조금이나마 소양이 있거든요. 그러니 꼭 좀!"""
ssn_014710_4402#0,"""으음, 이걸로는 좀 부족하네요…….<br>미안해요, 좀 더 부탁드릴게요."""
ssn_014710_4403#0,"""……그렇군요.<br>괜찮다면, 다음에 또 부탁드릴게요."""
ssn_014710_4501#0,"""매번 도움만 받는 게,<br>정말 어떻게 사례를 드려야 할지……."""
ssn_014710_4502#0,"""덕분에 대원들도 식량난에서 해방됐어요.<br>다들 당신께 고마워하고 있어요."""
ssn_014710_4503#0,"""그렇지. 다음에, 키운 식재들로 식사를 대접하게 해주세요.<br>제가 요리도 조금이나마 소양이 있거든요. 그러니 꼭 좀!"""
