name01#0,"""Zeno"""
name01#1,"""ゼノ"""
linewindow001#0,"""ท่านบรรลุเป้าหมายของ Client Order<br>\""Killing Time on Naberius\"" จงส่งรายงานกับ Zeno"""
11_voice_NPC_5001_100#0,"""นั่นไปได้ด้วยดีเลยนะ<br>ดีมาก <%me>"""
text02#0,"""แต่งานของท่านยังไม่จบลง<br>การส่งรายงานเป็นเพียงขั้นตอนปกติของ Client Order"""
text03#0,"""ข้าจะรออยู่จุดเดิมนะ<br>มาหาข้าเพื่อส่งรายงาน เข้าใจนะ?"""
text04#0,"""ไว้เจอกัน"""
linewindow001#1,"""クライアントオーダー「暇つぶしにナベリウスへ」の目標を達成しました。<br>ゼノのところへ達成報告に向かいましょう。"""
11_voice_NPC_5001_100#1,"""<%me><br>いい感じだったな、お疲れさん。"""
text02#1,"""って、労うのはまだ早いか。<br>クライアントオーダーは報告までが<br>一連の流れだからな。"""
text03#1,"""んじゃ、俺はいつもの場所で<br>待ってるから、報告までの流れも<br>しっかりやってみようぜ。"""
text04#1,"""じゃあな！"""
