Farma_010#0,"""ทำการยืนยันเสร็จสิ้น!<br>ยอดเยี่ยมมาก!"""
Farma_010#1,"""オーダー達成、確認しました！<br>おつかれさまでしたっ！"""
11_voice_shop_171#0,"""ถูกต้องครบถ้วนค่ะ<br>ขอบคุณมากนะคะ"""
11_voice_shop_171#1,"""達成を確認しました。<br>お疲れ様でした。"""
11_voice_shop_181#0,"""...ผ่าน Order นี้เรียบร้อย<br>...ยอดมาก"""
Toria_020#0,"""ดีล่ะ... ข้าหวังว่าจะทำได้ดีเหมือนกันในครั้งหน้า"""
11_voice_shop_181#1,"""……オーダー、達成したんだ。<br>……やるじゃない。"""
Toria_020#1,"""……まあ、次も頑張れば。"""
11_voice_shop_191#0,"""หืม เสร็จแล้วเหรอ?<br>สุดยอดไปเลย"""
Bende_020#0,"""โอเค นี่คือรางวัล คงได้พบกันใหม่นะ"""
11_voice_shop_191#1,"""へぇ、クリアしちゃったんだ？<br>すごいわねぇ。"""
Bende_020#1,"""それじゃはい、報酬よ。<br>またよろしくねぇ。"""
11_voice_shop_201#0,"""เห พยายามจนสำเร็จจนได้นะ"""
Anya_020#0,"""โอเค นี่คือรางวัล มันเป็นของท่านทั้งหมด<br>ไว้เจอกันใหม่"""
11_voice_shop_201#1,"""へー、マジ頑張っちゃった感じ？"""
Anya_020#1,"""それじゃ報酬あげるー。<br>はい、あげたー。<br>じゃねじゃねー。"""
11_voice_shop_211#0,"""ทุกอย่างถูกต้องเรียบร้อย<br>ขอบพระคุณมาก"""
11_voice_shop_211#1,"""報告を受領しました。<br>ご苦労様でした。"""
11_voice_shop_221#0,"""เคลียร์ Order นี้เรียบร้อย<br>รับรองความถูกต้องแล้วค่ะ !<br>ขอบคุณมากนะคะ !"""
Tessela_020#0,"""รับรางวัลนี่ไป มันเป็นของท่านทั้งหมด!"""
11_voice_shop_221#1,"""オーダーのクリア報告<br>確認できました！<br>本当にお疲れ様でした！"""
Tessela_020#1,"""これ、報酬です！<br>受け取って下さいっ！"""
11_voice_shop_231#0,"""กำลังรออยู่เลยครับ<br>งั้นขอตรวจสอบความเรียบร้อยก่อนนะครับ"""
Zio_020#0,"""ท่านทำได้ดีมาก หวังว่าจะได้พบกันใหม่นะ"""
11_voice_shop_231#1,"""お待ちしておりました。<br>報告も確認させて頂いています。"""
Zio_020#1,"""噂通り、見事な働きですね。<br>またの機会にも宜しくお願いします。"""
11_voice_shop_241#0,"""โอ้ กลับมาแล้วเรอะ<br>ไหนๆ ขอเช็คนิดนึงนะ"""
Kusui_020#0,"""โอเค ไม่มีปัญหา นี่คือรางวัลของท่าน"""
11_voice_shop_241#1,"""おー、帰ってきたのか。<br>どれどれ、報告を確認っと。"""
Kusui_020#1,"""オーケー、問題なしだぜ。<br>そんじゃ、これが報酬な。"""
11_voice_shop_341#0,"""ยอดเยี่ยมมากค่ะ"""
11_voice_shop_341#1,"""素晴らしい成果です。"""
11_voice_shop_331#0,"""ไม่มีที่ติเลย"""
11_voice_shop_331#1,"""見事なお手前でございます。"""
11_voice_shop_351#0,"""ไม่เลวนี่นา"""
11_voice_shop_351#1,"""ええ成果どすなぁ。"""
11_voice_shop_361#0,"""Pii !"""
11_voice_shop_361#1,"""ぴー！"""
11_voice_shop_371#0,"""Li !Li !"""
11_voice_shop_371#1,"""り！り！"""
