Farma_010#0,"""チームオーダーの受注<br>確認しましたっ！"""
Farma_020#0,"""それでは<br>よろしくお願いしますねっ！"""
Ena_010#0,"""チームオーダーの受注を確認。<br>では、よろしくお願いします。"""
Toria_010#0,"""……あ、そう。<br>……そのオーダー、やるんだ。"""
Toria_020#0,"""……ふうん。<br>……まあ、頑張ってね。"""
Bende_010#0,"""あらぁ、その依頼、やっちゃうのぉ？"""
Bende_020#0,"""はい、受付完了よぉ。<br>頑張ってきてねぇ。"""
Anya_010#0,"""は、その依頼やっちゃうとか<br>マジウケるんですけど？"""
Anya_020#0,"""出来るのなら止めないけど<br>口だけとかマジ勘弁だから。"""
Mizen_010#0,"""依頼の受注、承りました。<br>それでは、よろしくお願い致します。"""
Tessela_010#0,"""チームオーダーの受注登録<br>できましたよ！"""
Tessela_020#0,"""それじゃあ、がんばって<br>クリアしてきてくださいねっ！"""
Zio_010#0,"""なるほど、そのオーダーを<br>受注なさいますか。"""
Zio_020#0,"""それでは、行ってらっしゃいませ。"""
Kusui_010#0,"""あー、チームオーダーの受注か。<br>はいはい、承ったよっと。"""
Kusui_020#0,"""そんじゃ、がんばってこいよなー。"""
Bianca_010#0,"""こちらのオーダーの受注で<br>よろしいでしょうか？"""
Bianca_020#0,"""では、行ってらっしゃいませ。"""
Ricardo_010#0,"""受注するオーダーは<br>こちらでよろしいですね？"""
Ricardo_020#0,"""くれぐれも、ご無理はなさらぬよう。"""
Suzuran_010#0,"""このオーダーでよろしいどすか？"""
Suzuran_020#0,"""あんじょう、おきばりやす。"""
Rappy_010#0,"""ぴぴ！"""
Lillipa_010#0,"""りり！"""
