st_052075_0010#0,"""……沒問題，沒問題。<br>沒有可怕的東西，没什好怕的。"""
st_052075_0020#0,"""這個身體，這條性命都是已經失去過一次的東西。<br>應該是為人民奉獻出去的東西……<br>因為這是大家共有的東西。"""
st_052075_0030#0,"""所以不要害怕，哈莉艾特。<br>沒問題的，會沒事的……"""
st_052075_0040#0,"""誒，啊！<br><%me>！"""
st_052075_0050#0,"""對、對不起！<br>被看見了難為情的<br>地方……呢？"""
st_052075_0060#0,"""１．什麼都沒聽到"""
st_052075_0070#0,"""２．可怕麼？"""
st_052075_0080#0,"""呼呼、<br><%me>好溫柔啊。"""
st_052075_0090#0,"""……嗯。<br>説不可怕<br>肯定是騙人的吧。"""
st_052075_0100#0,"""但是，我<br>是不會忘了這個可怕的感覺的。"""
st_052075_0110#0,"""始終想著戰爭是令人害怕的<br>所以不早點結束戰爭不行<br>這樣自己也不會引起戰爭。"""
st_052075_0120#0,"""……所以我必須要記住<br>這個恐懼的感覺。<br>為了不再接近戰爭。"""
st_052075_0130#0,"""那個……因為不想讓大家感到不安<br>所以請為我保密我現在在害怕的事<br>拜託了！真的要保密哦。"""
