11_voice_NPC_5428_100#0,"""あら、かわいいコね。<br>イイコトする？"""
skit00_02#0,"""うふふ……このアタシ、ウェポノイドの<br>「ブルージーレクイエム」を<br>満足させられるかしら……？"""
11_voice_NPC_5428_105#0,"""って、それどころじゃないんだった。<br>アタシと彼、とっても困ってるの。<br>あ、彼って言っても彼氏じゃないけど。"""
skit01_02#0,"""彼ったら、太くて長くて立派な銃を<br>持ってるし、それにスッゴク強いから<br>ふたりでやってるんだけど……"""
skit01_03#0,"""相手がしつこくて、<br>いつまでたっても終わってくれないの。<br>手伝ってくれたら、何でもするわよ？"""
skit02_01#0,"""いっぺんに相手できる数にも<br>限度ってものがあるわよね。"""
11_voice_NPC_5428_108#0,"""いくらアタシが苦痛を快楽に<br>変えられるからって……<br>少しは休ませてくれないと。"""
skit02_03#0,"""まぁ……その分<br>ご褒美がもらえると思えば……<br>頑張れるけどね。"""
skit03_01#0,"""この彼と<br>組むことになったのは……<br>上からの命令なの。"""
11_voice_NPC_5428_201#0,"""彼？\u3000頼もしいと思ってるわよ。<br>アタシの好みとは違うけど……<br>いいカラダしてて、美味しそうだし。"""
11_voice_NPC_5428_102#0,"""でも……彼はアタシが苦手みたい。<br>あんなに立派な銃を持ってるのに……<br>ウブなんだから。"""
skit04_02#0,"""うふふ……彼、イジメたら<br>案外よろこぶタイプだと思うのよねぇ。<br>いろんなこと、教えてあげたいわ。"""
skit05_01#0,"""あ・り・が・と！<br>あなたもスッゴク強いのね……<br>アタシ、溶けちゃいそうだった。"""
11_voice_NPC_5428_104#0,"""でもね、まだ満足じゃないの。<br>もっと何度も何度もやりたいの！"""
skit06_01#0,"""ねえ、もう１回して？<br>あなたじゃないとダメなの……"""
11_voice_NPC_5428_202#0,"""アタシもあなたが望むこと……<br>何でもするし、何でもされるわ。<br>だから……ね？"""
