un_065180_0010#0,"""こ、今後のために<br>聞かせてもらえると、嬉しい……"""
un_065180_0020#0,"""って、言われてもなぁ……<br>ちょっとウルク。イオをたきつけたの<br>あなたでしょ？"""
un_065180_0030#0,"""人聞き悪いなー。<br>イオちゃんも興味があるだけだってば。<br>エコーさんの新婚生活に……ね！"""
un_065180_0040#0,"""カフェで今後の話を、とか言って<br>それが目的だったのね……"""
un_065180_0050#0,"""あ、<%me>！<br>きみからも、二人に言ってあげてよ。<br>そんな話してる場合じゃない、って！"""
un_065180_0060#0,"""そんな話してる場合じゃない"""
un_065180_0070#0,"""新婚生活、聞かせて"""
un_065180_0080#0,"""おや、素直だねー。<br>総司令なのにサボってるとか思ってる？<br>心外だなあ。"""
un_065180_0090#0,"""まさかの裏切り……！？<br>きみまで、そっちに回らないでよ！"""
un_065180_0100#0,"""そもそもエコーさん、勘違いしてるよ。<br>これも全部、未来のためなんだから。"""
un_065180_0110#0,"""あ、あたしとゼノの新婚生活が<br>どう、未来のためになるってのよ……<br>だいたい、総司令の仕事はいいの？"""
un_065180_0120#0,"""総司令としてやるべきことなんて<br>ぜーんぶ、終わっちゃってるのよねー。<br>あとは、最終決戦を待つだけ。"""
un_065180_0130#0,"""今さら、ジタバタしても仕方ない。<br>それより私たちには、今だからこそ<br>考えるべきことがあるの。"""
un_065180_0140#0,"""今だからこそ……"""
un_065180_0150#0,"""考えるべきこと？"""
un_065180_0160#0,"""そう、それは……未来のこと。<br>私たちが、すべて終わらせたあとの<br>平和になった時のことを考えなきゃ。"""
un_065180_0170#0,"""敵を倒すために戦うんじゃない。<br>平和な世界を手に入れるために戦うの。"""
un_065180_0180#0,"""その目的を忘れないため……<br>平和になったあとのことを考える。<br>それって、大事だと思わない？"""
un_065180_0190#0,"""た、たしかに……<br>ダーカーを倒すために戦ってる、って<br>思いがちだけど……"""
un_065180_0200#0,"""言われてみれば、そうだよな。<br>平和な未来のために、戦ってるんだ。"""
un_065180_0210#0,"""だからね！<br>結婚という明るい未来を勝ち取った<br>エコーさんの新婚生活が聞きたいの！"""
un_065180_0220#0,"""エコーさん、頼むよっ！<br>おれ、そういうの全然わからなくて<br>未来が想像できないから……"""
un_065180_0230#0,"""……はぁ。わかったわよ。<br>期待に応えられるとは思えないけど。<br>で、何を聞きたいの？"""
un_065180_0240#0,"""お、おれから質問いいかな？<br>前からすごく気になってたんだけど……<br>その、えっと、す、す……"""
un_065180_0250#0,"""す、好きな相手が<br>自分のことも好きなのって<br>どんな感じなんだ……！？"""
un_065180_0260#0,"""うう、まぶしい……<br>ええと、両想いの気持ちってことよね。<br>なんて言うか、言葉だと難しいけど……"""
un_065180_0270#0,"""包み込まれるようで安心できると言うか<br>この人は信じられるんだって言うか……"""
un_065180_0280#0,"""結婚するまではね。すごく不安だった。<br>ゼノが本当に帰ってきてくれるのかとか<br>失踪した時も、信じたいけど不安で……"""
un_065180_0290#0,"""でも、結婚してからは……<br>ゼノを信じていいんだ、って思えて。<br>不安が一気に消えたみたいだった。"""
un_065180_0300#0,"""イオちゃん、よく聞いておいてね。<br>これが、ノロケってやつだよ。"""
un_065180_0310#0,"""自分たちが聞いたんでしょうが！<br>ひどくない、<%me>？"""
un_065180_0320#0,"""パフェより甘い話だった"""
un_065180_0330#0,"""ただのノロケだよね"""
un_065180_0340#0,"""聞かれたから答えたのにー！<br>言わなきゃよかったぁー！"""
un_065180_0350#0,"""ウソっ！？\u3000そんなつもりは……<br>なんか、ごめん……"""
un_065180_0360#0,"""さて、じゃ最終決戦前に<br>テオの顔でも見に行くかー。<br>それじゃ！"""
un_065180_0370#0,"""そうね……あたしも<br>ゼノの声が聞きたいな……<br>じゃあね、二人とも！"""
un_065180_0380#0,"""うう……<br>あ、あ、あのさ……センパイ。"""
un_065180_0390#0,"""時間があったらさ……<br>おれと、もう少しだけでいいから<br>お茶……してくれる？"""
