name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""สวัสดี<%me><br>ข้าคือเจ้าหน้าที่ชื่อ Cofy"""
text02#0,"""นี่ไม่ใช่การแจ้งภารกิจ<br>แต่เป็นการแจ้งเตือนทั่วไป"""
text03#0,"""ขณะนี้ภายในสมาชิก ARKS ได้มีการลอบจู่โจม<br>สมาชิก ARKS ด้วยกันเอง<br>โดยยังไม่สามารถทราบเหตุจูงใจได้อยู่"""
text04#0,"""แต่ยังการรายงานเข้ามาว่า เหตุการณ์เช่นนี้<br>ยังเกิดขึ้นอย่างต่อเนื่อง<br>และไม่มีทีท่าว่าจะสงบลง"""
text05#0,"""ซึ่งท่าน<%me>เอง ก็มีความเป็นไปได้ว่า<br>อาจโดนลอบจู่โจมด้วยเช่นกัน<br>จึงอยากขอให้ระมัดระวังตัวไว้นะ"""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です、管理官のコフィーです。"""
text02#1,"""任務の連絡ではありません。<br>……注意喚起、と言うべきでしょうか。"""
text03#1,"""最近、アークスの集団が<br>他のアークスを襲うという不可解な<br>事件が発生しているようです。"""
text04#1,"""なぜそんなことが起こっているのか<br>原因は不明ですが……同様の報告が<br>相次いでいる以上、事実のようです。"""
text05#1,"""<%me>さんも<br>襲撃される可能性があります。<br>十分に警戒してください。"""
