un_020080_0010#0,"""......โย่ เจ้าเป็นตัวจริงสินะ"""
un_020080_0020#0,"""โทษทีพอดีข้าเห็นว่าพักนี้มี ARKS <br>จำลองปรากฎตัวออกมาน่ะนะ<br>ดันคิดอะไรที่มันยุ่งยากขึ้นมาซะได้"""
un_020080_0030#0,"""การจำลองความสามารถของ ARKS ได้<br>เรื่องนั้นเองก็ยุ่งยากอยู่ทว่า......"""
un_020080_0040#0,"""การปลอมตัวเป็นคนรู้จักนี่แหละ<br>คืออะไรที่ยุ่งยากที่สุด"""
un_020080_0050#0,"""ยกตัวอย่างเช่น ARKS ที่เคยร่วมสู้ด้วย<br>กันมาตลอดกลับกลายเป็นศัตรูกะทันหัน<br>แน่นอนก็คงต้องลังเลใจใช่ไหมล่ะ?"""
un_020080_0060#0,"""การจะต่อสู้กับคนรู้จักนั้นทำได้ยาก<br>มันเป็นเรื่องธรรมดาอยู่แล้ว"""
un_020080_0070#0,"""แต่ไม่นึกเลยว่า D-arkers จะ<br>จะใช้กลยุทธ์แบบนี้......"""
un_020080_0080#0,"""ไม่อยากจะคิดภาพที่<br>จำต้องจัดการเจ้านั่นจับคู่ปาร์ตี้<br>มาด้วยกันตลอดเลยจริงๆ ...... """
un_020080_0090#0,"""ถึงจะเป็นตัวปลอมก็จริง แต่จะให้สู้กับ <br>ARKS ด้วยกันเนี่ย ขอเถอะ"""
un_020080_0010#1,"""……よう、お前は本物だな。"""
un_020080_0020#1,"""いや、失礼。最近、アークスの<br>模倣体が出現するという話でな。<br>やっかいなものを考えてくれたものだ。"""
un_020080_0030#1,"""アークスの実力を模倣してくる。<br>それももちろんやっかいだが……"""
un_020080_0040#1,"""知己の姿を真似てくる。<br>これが何よりも面倒だ。"""
un_020080_0050#1,"""例えばだ、いつも共に戦っている<br>アークスが急に敵に回ったら<br>当然、戸惑ってしまうだろう？"""
un_020080_0060#1,"""知己とは戦いにくい。<br>それは当たり前のこと。"""
un_020080_0070#1,"""だがまさか、ダーカーが<br>そのような作戦を講じてくるとはな……"""
un_020080_0080#1,"""いつもパーティを組んでいる<br>あいつを倒さねばならない……<br>考えたくもないことだ。"""
un_020080_0090#1,"""偽物とはいえ、アークス同士で<br>戦うのなんて、御免だ。"""
