IncidentName#0,"""กำจัด $(0) ที่กำลังหลบหนี"""
TrialBeginMsg#0,"""ไล่ตาม $(0) ที่กำลังหนีแล้วกำจัด $(1) ตัว!<br>ภารกิจจะล้มเหลวถ้าหลบหนีเกินกว่า $(2) ตัว"""
TrialAbstract#0,"""กำจัด $(0) ที่กำลังหลบหนี!"""
TrialBeginMsgForKeyII#0,"""ไล่ตาม $(0) ที่กำลังหนีและกำจัด $(1) ตัว!"""
IncidentName#1,"""逃走$(0)討伐"""
TrialBeginMsg#1,"""逃走する$(0)を$(1)体倒せ！<br>$(2)体以上、逃がすと失敗。"""
TrialAbstract#1,"""逃走$(0)を討伐せよ！"""
TrialBeginMsgForKeyII#1,"""逃走する$(0)を$(1)体倒せ！"""
NpcComOnBegin#0,"""ตรวจพบปฏิกริยา $(0) ที่กำลังหลบหนี<br>เพื่อสำรวจพฤติกรรมนี้ เราต้องการให้ท่านกำจัดพวกมันและรวบรวมข้อมูลก่อนที่พวกมันจะหนีไป"""
NpcComOnBeginAtRareCase#0,"""ตรวจพบปฏิกริยา $(0)<br>มีคำร้องขอเร่งด่วนให้กำจัดพวกมันทันที เราต้องการให้ท่านช่วย!"""
NpcComOnSuccess#0,"""/face2 รวบรวมข้อมูล $(0) เรียบร้อยแล้ว<br>ขอบคุณที่ให้ความร่วมมือ"""
NpcComOnFailure#0,"""ปฏิกริยาของ $(0) หายไปแล้ว<br>การเก็บรวบรวมข้อมูลล้มเหลว<br>ขอบคุณที่ให้ความร่วมมือ"""
NpcComOnBegin#1,"""逃走する$(0)の<br>存在を確認。奇行の原因調査のため<br>逃走前の討伐回収を願います。"""
NpcComOnBeginAtRareCase#1,"""$(0)の存在を<br>確認しました。早急な討伐要請が<br>下っています。よろしくお願いします！"""
NpcComOnSuccess#1,"""/face2 $(0)のデータ<br>取得完了、協力感謝します。"""
NpcComOnFailure#1,"""$(0)、ロスト。<br>データ取得は失敗しましたが<br>ここまでの協力、感謝します。"""
