text01#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
11_voice_NPC_5150_100#0,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text03#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text04#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text05#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text01#1,"""バウンサーとは、近接戦闘を行う<br>支援役です。その主戦武装のひとつが<br>デュアルブレードですわ。"""
11_voice_NPC_5150_100#1,"""デュアルブレードは二刀流なんですの。<br>ツインダガーではありませんわよ。"""
text03#1,"""デュアルブレードは非常に扱いやすく<br>立ち回りさえ上手くすれば<br>絶えず攻撃をすることができますの。"""
text04#1,"""他にも色々と特徴はありますが<br>実戦されたほうがわかりが良いと<br>思いますわ。"""
text05#1,"""まずは試してみてはいかがでしょう？<br>このデュアルブレードを差し上げますし<br>ぜひ挑戦してくださいね。"""
text00#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
text01#2,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text02#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text03#2,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text00#1,"""『デュアルブレード』について"""
text01#3,"""武器「デュアルブレード」について、説明します。<br><br>デュアルブレードは、両手に持った剣と<br>対象に向けて飛ばすことができるフォトンブレードによる<br>爽快な連続攻撃が特徴です。"""
text02#1,"""デュアルブレード系の基本攻撃について、説明します。<br><br>デュアルブレードは、二刀流による連撃を得意とします。"""
text03#3,"""デュアルブレード系のフォトンアーツの動きを見てみましょう。<br><br>デュアルブレードのフォトンアーツは<br>二刀流とフォトンブレードによる波状攻撃が特徴です。"""
