un_012310_0005#0,"""[Intel Hunters: Mission Complete]<br>ใส่ข้อความ"""
un_012310_0010#0,"""ฮ้ายฮาย มาแล้วจ้า!<br>Pati จังเองค่า!"""
un_012310_0020#0,"""สวัสดีค่ะ Tia ค่ะ"""
un_012310_0030#0,"""มีข้อมูลใหม่จากนักหาข้อมูลมาส่งจ้า!<br>ไม่กลัวนักฆ่าปิดปากด้วย!"""
un_012310_0040#0,"""คือยังไงไม่รู้นะ แต่ดูเหมือนกว่าห้องวิจัย<br>ที่กำลังทำทดลองเรื่องการโอนถ่าย Photon น่ะ<br>กำลังวิจัยเรื่อง D-arkers อยู่ด้วยล่ะ!"""
un_012310_0050#0,"""แล้วการวิจัยโดยเอา D-arkers<br>มาศึกษาเรื่อง Photon เนี่ย<br>ดูน่าสงสัยยังไงก็ไม่รู้ด้วย!"""
un_012310_0060#0,"""แล้วก็นะ ระหว่างกำลังทำวิจัยก็เกิดอุบัติเหตุขึ้น!<br>ห้องวิจัยเละตุ้มเป๊ะไปหมดเลยล่ะ!"""
un_012310_0070#0,"""แต่ว่า บังเอิญเราได้ข้อมูลมาแค่นี้อ่ะดี๊!<br>อยากรู้จังเลยว่าเกิดเรื่องอะไรขึ้นกันแน่!"""
un_012310_0080#0,"""ทีแรกก็คิดว่าข้อมูลแบบนี้กว่าจะได้มา<br>คงต้องใช้เวลานาน<br>แต่พอแตะเข้าหน่อยก็ฟุ้งขึ้นมาเลย"""
un_012310_0090#0,"""รู้สึกเหมือนกับว่ามีคนจงใจปล่อยข่าวลวง<br>ให้เราหลงทางยังไงยังงั้น"""
un_012310_0100#0,"""อืมม จะจริงเร้อ<br>ไม่ต้องคิดมากขนาดนั้นก็ได้ม้าง"""
un_012310_0110#0,"""ถ้าทุกอย่างเป็นความลับซะหมด<br>การออกมาแถลงการณ์ก็ไม่ต้องทำกันพอดีน่ะสิ"""
un_012310_0120#0,"""อยากแถลงการณ์จังเลย!<br>แต่ก็ไม่อยากเล่าละเอียด!<br>แต่ถ้าพูดโกหกเรื่องก็จะยิ่งยุ่งไปใหญ่อีก!"""
un_012310_0130#0,"""เพราะงั้นก็เลยคิดว่าเอางี้ละกัน<br>ปล่อยข้อมูลออกมาเท่าที่ทำได้<br>ก็เลยกลายมาเป็นอย่างตอนนี้ไม่ใช่เหรอ?"""
un_012310_0140#0,"""...เกิดอะไรขึ้นเนี่ย Pati จัง<br>พูดอะไรดูฉลาดกับเค้าเป็นด้วยเหรอ?"""
un_012310_0150#0,"""แหะๆๆ... ก็เป็นงานชิ้นเบ้ง<br>ที่มีคนมาขอให้ทำไม่ใช่เหรอ<br>ถ้าไม่เอาจริงหน่อยก็แย่สิ!"""
un_012310_0160#0,"""...ก็ตามนั้นแหละ เรื่องที่พวกเรา<br>พอหามาได้ก็มีแค่นี้"""
un_012310_0170#0,"""จะสรุปยังไงก็แล้วแต่เธอล่ะนะ!"""
un_012310_0005#1,"""【依頼情報へいおまち！】<br>仮テキスト"""
un_012310_0010#1,"""はいはいお待たせしましたー！<br>パティちゃんですよー！"""
un_012310_0020#1,"""どうも、ティアです。"""
un_012310_0030#1,"""始末屋も恐れぬ、情報屋からの<br>最新情報、お届けするよー！"""
un_012310_0040#1,"""なんかねー、研究部でやってたのは<br>後天的なフォトン行使力の付与研究とか<br>ダーカーの研究だったみたい！"""
un_012310_0050#1,"""フォトン行使のほうはともかく<br>ダーカーの研究ってほうは<br>なんだかきなくさいよねー！"""
un_012310_0060#1,"""んで、事故の原因は研究中の<br>トラブルなんだってー！<br>研究中ってところがミソだね！"""
un_012310_0070#1,"""でも、それ以上の情報はなーし！<br>トラブルの中身が知りたいのにー！"""
un_012310_0080#1,"""もっと情報収集に手間取るかと<br>思っていたんだけど<br>叩いたらすぐ出てきちゃった。"""
un_012310_0090#1,"""なんとも肩すかしというか<br>意図的に漏らされている気がする。"""
un_012310_0100#1,"""んー、どうだろう。<br>そんなに深く考えなくて<br>いいんじゃないかなー。"""
un_012310_0110#1,"""ぜーんぶ秘密にしちゃうと<br>トラブルの後始末もできなく<br>なっちゃうだろうしさ。"""
un_012310_0120#1,"""トラブルの後始末はしたい！<br>でも、詳細は言いたくない！<br>ウソを言ったらもっと面倒！"""
un_012310_0130#1,"""だから、そういう妥協の末に<br>決められた情報量が、今のもの。<br>こんなとこじゃないかなー？"""
un_012310_0140#1,"""……どうしたの、パティちゃん。<br>なんかひらめきが冴えてない？"""
un_012310_0150#1,"""へへへ……あたしたちを<br>頼りにしてもらった情報だからね。<br>頑張りたくもなるでしょ！"""
un_012310_0160#1,"""……ともあれ、私達に<br>調べられたのはここまで。"""
un_012310_0170#1,"""結論を出すのは、あなただよ！"""
