text01#0,"""......หนึ่งในอาวุธที่ Wizard เลือกใช้คือ Talis<br>ต้องเรียกว่าเป็นอาวุธที่พิเศษมากกว่าล่ะนะ"""
text02#0,"""......ท่านสามารถวาง Talis ห่างจากตัวเอง<br>แล้วปล่อย Photon Magic จากระยะไกล<br>ข้าเรียกมันว่าการรีโมท"""
text03#0,"""......ท่านสามารถใช้มันเป็นอาวุธ<br>พื้นฐานในการโจมตีศัตรูระยะไกล<br>มันมีประโยชน์มาก"""
text04#0,"""......สนใจ Talis แล้วหรือยังล่ะ?<br>ถ้าอย่างนั้นเอานี่ไปซิ<br>มันเป็นของข้าเอง ยังใช้งานได้ดีอยู่นะ"""
text05#0,"""......แทนที่จะมานั่งเรียน <br>สู้ออกไปปฏิบัติจริงเลยจะทำให้เข้าใจได้ง่ายกว่านะ<br>เพราะงั้นแล้วลองออกไปฝึกฝนดูหน่อยไหม"""
text06#0,"""Talis"""
text07#0,"""Talis เป็นอาวุธรูปทรงคล้ายไพ่<br>ที่สามารถโยนไปยังตำแหน่งที่ต้องการเพื่อใช้งาน Photon Magic"""
text08#0,"""ลองใช้การโจมตีด้วย Talis แบบพื้นฐานพร้อมกับ Photon Move<br>Talis มีระยะการใช้งานได้กว้าง <br>ลองโยน Talis ไปในที่ๆไม่สามารถเข้าไปถึงโดยง่ายแล้วโจมตีจากระยะไกล"""
text01#1,"""……フォース系の武装に<br>タリスというものがある。<br>一言でいえば、特殊。"""
text02#1,"""……タリスは遠い場所に設置が可能。<br>そこにテクニックを遠隔発動できる。<br>簡単に言えば、テクニックの設置発動。"""
text03#1,"""……もちろん、通常の武器として<br>ちょっと離れた相手に攻撃することも<br>できる。特殊だけど便利。"""
text04#1,"""……タリスに興味出てきた？<br>なら、これを渡しておく。<br>私のお下がりで申し訳ないけど。"""
text05#1,"""……座学よりも、実践したほうが<br>感覚を掴むのも早いと思う。<br>少し、練習してきたらどうかしら。"""
text06#1,"""『タリス』について"""
text07#1,"""武器「タリス」について、説明します。<br><br>タリスは、カード状のパーツを飛ばしてテクニックを<br>パーツから発動させる独特な動きをする法撃武器です。"""
text08#1,"""タリス系の基本攻撃と<br>テクニックの動きを確認してみましょう。<br><br>フォースが近づきにくい場所にタリスを飛ばし<br>そこを起点にしての攻撃など、バリエーションが広がります。"""
