msc_010010_0010#0,"""909號艙，系統檢查……完成。<br>狀態……完好。"""
msc_010010_0020#0,"""下降程序……準備完畢。<br>10秒後到達目標坐標。"""
msc_010010_0030#0,"""降下軌道，最終確認。<br>……誤差，修正完成。"""
msc_010010_0040#0,"""５……４……３……２……１……"""
msc_010010_0050#0,"""分離。"""
msc_010012_0060#0,"""……？<br>喂！那個是……"""
msc_010012_0070#0,"""是“渡星者”！"""
msc_010012_0080#0,"""……好像要掉到附近了。"""
msc_010012_0090#0,"""我去看看！"""
msc_010012_0100#0,"""等、等等，等一下！"""
msc_010014_0110#0,"""糟糕！有煙冒出來了……！"""
msc_010014_0120#0,"""……該怎麼打開呢？<br>裡面的人沒事吧!?"""
msc_010014_0130#0,"""啊……是這個……吧？<br>恩……恩恩恩……！"""
msc_010014_0140#0,"""太好了。打開了。<br>来，抓住我！"""
name01#0,"""機艙機械音"""
