name01#0,"""Ashtalt"""
text01#0,"""Your current goal is..."""
11_voice_shop_414#0,"""To complete the client request <c bb0000>How to edit your ARKS ID!<c>"""
text03#0,"""It's a client request from Jan in the shop area."""
text04#0,"""People often ask me what they should write on their ID, but I don't know that."""
text05#0,"""I think you should write whatever you feel like writing."""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""クライアントオーダー<br><c bb0000>「アークスカードの編集方法！」<c>を<br>達成することです。"""
text03#1,"""ショップエリアにいるジャンさんの<br>クライアントオーダーのようですね。"""
text04#1,"""アークスカードに何を書けば良いのかと<br>時折相談されることがありますが<br>そんなこと私は知りません。"""
text05#1,"""書く人の書きたいように書くのが<br>万事において正しいことだと思います。"""
