un_012030_0001#0,"""???"""
un_012030_0010#0,"""......! ใคร!"""
un_012030_0020#0,"""ท่านคือ......<br>ไม่ว่าทำยังไงก็หาตัวชั้นพบหรือคะเนี่ย"""
un_012030_0030#0,"""ซ่อนตัวอยู่หรอกเหรอ?"""
un_012030_0040#0,"""กำลังหาอะไรอยู่?"""
un_012030_0050#0,"""...หมายความว่าเห็นชัดเลยงั้นหรือคะ<br>หรือการพรางร่องรอยของชั้นมันยังใช้ไม่ได้...?<br>ไม่สิ ไม่น่าเป็นไปได้..."""
un_012030_0060#0,"""...ไม่เกี่ยวกับท่านหรอกค่ะ<br>แต่ว่า การที่ท่านเห็นตัวชั้น<br>ได้ง่ายๆ แบบนี้..."""
un_012030_0070#0,"""...ท่าน เป็นใครกันแน่คะ"""
un_012030_0080#0,"""A.P.238/3/1"""
un_012030_0001#1,"""？？？"""
un_012030_0010#1,"""……っ！\u3000誰！"""
un_012030_0020#1,"""あなたは……<br>どうして私の存在に気付けたんですか。"""
un_012030_0030#1,"""隠れていたのか？"""
un_012030_0040#1,"""何を探していた？"""
un_012030_0050#1,"""……はっきり見えたってことですか。<br>気配の消し方が甘くなってる……？<br>いや、そんなことは……"""
un_012030_0060#1,"""……あなたには関係のないことです。<br>しかし、ここまではっきりと<br>発見されてしまうなんて……"""
un_012030_0070#1,"""……あなたは、何者ですか。"""
un_012030_0080#1,"""A.P.238/3/1"""
