Title#0,"""The Ruins Probe"""
Explanation#0,"""เราต้องการตรวจสอบซากโบราณสถาน<br>ลึกลับซึ่งอยู่ในส่วนที่ลึกที่สุดของ<br>ดาวเคราะห์ Naberius ขอให้ทำการสำรวจแต่ละจุด<br>ในซากโบราณสถานอย่างอิสระ<br><br>------------------------------------<br>เงื่อนไขเควสท์ล้มเหลว / <br>เข้าไปถึงส่วนที่ลึกที่สุดแล้วแพ้"""
Title#1,"""遺跡探索"""
Explanation#1,"""惑星ナベリウスの最奥部に存在する<br>正体不明の遺跡の調査が目的となる。<br><br>遺跡を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
