IncidentName#0,"""$(0)撃破"""
TrialBeginMsg#0,"""緊急指令！<br>$(0)を撃破せよ！"""
TrialAbstract#0,"""乱入してきた<br>$(0)を撃破せよ！"""
NpcComOnPreBegin#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnFailure#0,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin_Other#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin_Other#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Other#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnFailure_Other#0,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin_Darker#0,"""ニャウ、撤退……いえ！<br>撤退の影響で空間に歪みが発生！<br>注意してください！"""
NpcComOnBegin_Darker#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Darker#0,"""お疲れさまでした。<br>適切な対処に感謝します。"""
NpcComOnFailure_Darker#0,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnSuccess#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnFailure#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin_Other#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin_Other#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnSuccess_Other#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnFailure_Other#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin_Darker#1,"""ニャウの逃亡を確認……む？<br>逃亡の影響による空間の歪みを検知。<br>何か来る、注意しろ！"""
NpcComOnBegin_Darker#1,"""ち、厄介なエネミーが現れたものだ。<br>各員、戦闘態勢。目標を撃退せよ。"""
NpcComOnSuccess_Darker#1,"""反応消失。<br>突然の来襲だったが、よくやった。"""
NpcComOnFailure_Darker#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnSuccess#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
