un_020350_0010#0,"""......Zeno!? <br>......ไม่ใช่สินะ<br><%me> เองเหรอ"""
un_020350_0020#0,"""ขอโทษนะ ที่ทักผิด<br>อืม ใช่แล้ว ชั้นมาตามหา<br>ร่องรอยของ Zeno น่ะ"""
un_020350_0030#0,"""อีตา Zeno น่ะไม่มีวี่แววที่<br>จะกลับมาเลย ชั้นก็เลยต้อง<br>ออกมารับเค้ายังไงล่ะ"""
un_020350_0040#0,"""แต่ก็นะ ชั้นไม่รู้ว่าต้องไปรับ<br>เค้าที่ไหน ก็เลยไม่สามารถ<br>ทำอะไรได้น่ะนะ......"""
un_020350_0050#0,"""......นี่<br><%me>"""
un_020350_0060#0,"""Zeno น่ะ...... Zeno เค้าจะกลับมารึเปล่า?<br>เค้าจะกลับมาแน่ๆ ใช่มั้ย?"""
un_020350_0070#0,"""1. เค้าจะต้องกลับมาแน่นอน"""
un_020350_0080#0,"""......ฮะ อะไรกันน่ะความมั่นใจนั่น<br>จะให้กำลังใจชั้นงั้นเหรอ?"""
un_020350_0090#0,"""ขอบคุณนะ<br>ต้องให้รุ่นน้องมาคอยเป็นห่วง<br>เป็นรุ่นพี่ที่ใช้ไม่ได้เลยนะ ชั้นเนี่ย"""
un_020350_0100#0,"""2. นิ่งเงียบไม่พูดอะไร"""
un_020350_0110#0,"""......คิกคิก เวลาแบบนี้น่ะนะ<br>ถึงจะโกหกก็ตามแต่ก็ควรจะพูดให้กำลังใจนะ"""
un_020350_0120#0,"""แต่ก็นะ ถ้าเธอคิดว่าจะให้<br>กำลังใจแบบหลอกๆ กับชั้นได้<br>เธอก็คิดผิดแล้วล่ะ"""
un_020350_0130#0,"""จะว่าไงดีล่ะ<br>ตั้งแต่มาเป็น Hunter หรือเปล่าน้า<br>หรือว่าตั้งแต่ที่ Zeno หายไปรึเปล่า"""
un_020350_0140#0,"""ชั้นน่ะกลายเป็นว่าตอนนี้สามารถมอง<br>สิ่งรอบๆ ตัวได้ชัดขึ้นและยังอ่าน<br>ความคิดของฝ่ายตรงข้ามได้ด้วย"""
un_020350_0150#0,"""เพราะฉะนั้น ชั้นจึงรู้ความหมาย<br>ของการกระทำของเธอดี<br>ขอบคุณนะที่เป็นห่วงชั้น"""
un_020350_0160#0,"""เอาล่ะ จะมามัวทำหน้าตาหดหู่<br>อยู่ตลอดไปคงไม่ได้หรอกเนอะ"""
un_020350_0170#0,"""ชั้นต้องทำหน้าที่แทน Zeno <br>ดังนั้นชั้นจึงต้องทำให้ดีที่สุด<br>......งั้นก็ไว้พบกันใหม่นะ"""
un_020350_0010#1,"""……ゼノ！？<br>……じゃない、よね。<br><%me>か。"""
un_020350_0020#1,"""ごめんね、間違えちゃって。<br>うん、そう、ゼノの足跡を<br>辿りに来ていたの。"""
un_020350_0030#1,"""ゼノのやつ、ぜんっぜん<br>帰ってくる気配がないから<br>迎えにきてやったぞー、ってね。"""
un_020350_0040#1,"""まあ、迎えようにも居場所が<br>わからないから、どうしようも<br>ないんだけどさ……"""
un_020350_0050#1,"""……ねえ<br><%me>。"""
un_020350_0060#1,"""ゼノは……ゼノはさ、帰ってくるよね？<br>絶対に、帰ってくるよね？"""
un_020350_0070#1,"""１．絶対に帰ってくる"""
un_020350_0080#1,"""……あはっ、何その自信。<br>励ましてくれてるの？"""
un_020350_0090#1,"""ありがと。<br>後輩に気を使われちゃうなんて<br>先輩失格だね、あたし。"""
un_020350_0100#1,"""２．無言を貫く"""
un_020350_0110#1,"""……ふふっ、そういうときはね<br>嘘でもいいから励ますべきだよ。"""
un_020350_0120#1,"""もっとも、うわべだけの励ましで<br>お姉さんをだませると思ったら<br>大間違いだけど。"""
un_020350_0130#1,"""なんだろう<br>ハンターになってからかな<br>ゼノがいなくなってからかな。"""
un_020350_0140#1,"""周りを見る余裕ができたというか<br>相手の考えが見えるように<br>なってきたんだよね、あたし。"""
un_020350_0150#1,"""だから、きみの振る舞いの意味も<br>なんとなくだけど、わかる。<br>気を使ってくれて、ありがとね。"""
un_020350_0160#1,"""さーって、いつまでも辛気くさい<br>顔はしてらんないわね。"""
un_020350_0170#1,"""あたしはゼノの代わりなんだから<br>いろいろ頑張っていかないと。<br>……それじゃあね。"""
