11_voice_NPC_5019_100#0,"""ดีมาก รายงานของท่านยอดไปเลย<br>ดูเหมือนท่านจะใช้ Wand ได้ชำนาญแล้ว"""
text02#0,"""ท่านเริ่มต้นได้ดีแล้ว <br>ตอนนี้ก็เป็นช่วงเวลาที่จะเรียนรู้ต่อไป"""
text03#0,"""ท่านเก็บอันนั้นไว้ได้เลย หวังว่าคงชอบนะ"""
text04#0,"""ไว้เจอกันวันหลัง<br>อย่าให้รู้ว่าท่านขี้เกียจและไม่ฝึกฝนการใช้ Wand นะ"""
text100#0,"""เกี่ยวกับ [ClientOrder]"""
text101#0,"""Barbara ได้ออก Client Order"""
11_voice_NPC_5019_100#1,"""……ご苦労様。見事な報告だったわ。<br>もう十分に使いこなしている、と<br>言っても過言じゃないぐらい。"""
text02#1,"""……それだけウォンドを<br>使いこなせるのなら<br>もう心配はいらないと思う。"""
text03#1,"""……そのウォンドは餞別、あげるわ。<br>いっぱい使ってあげてね。"""
text04#1,"""……それじゃ、私はこれで。<br>これからもウォンドの習熟に<br>励んでね。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""バルバラにクライアントオーダーが発生しました。<br><br>バルバラはゲートエリア・中央ホールにいます。"""
