msc_027020_0010#0,"""やあ、来たね。"""
msc_027020_0020#0,"""これは、どういう状況？"""
msc_027020_0030#0,"""ファリアに、なにかあった？"""
msc_027020_0040#0,"""僕たちと話しているときに、<br>突然、ファリア君のようすが変わってね。"""
msc_027020_0050#0,"""キミたちのことを、<br>ここに呼ぶようにと言いだしたんだ。"""
msc_027020_0060#0,"""僕たちと話しているときに、<br>突然、ようすが変わってね。"""
msc_027020_0070#0,"""キミたちのことを、<br>ここに呼ぶようにと言いだしたんだ。"""
msc_027020_0080#0,"""揃ったようだな。"""
msc_027020_0090#0,"""……私は、ゼフェット。<br>一時的に、この身体を借りている。"""
msc_027020_0100#0,"""ファリア？<br>いきなりなにを？"""
msc_027020_0110#0,"""ゼフェットだって!?"""
msc_027020_0120#0,"""……まずは、私の話を聞いてほしい。"""
msc_027020_0130#0,"""私は今、<br>ある場所で動けずにいる。"""
msc_027020_0140#0,"""……残念ながら、私の力だけでは、<br>この状況を打開できそうにない。"""
msc_027020_0150#0,"""そこで、お前たちに、<br>ここからの脱出を手伝ってもらいたい。"""
msc_027020_0160#0,"""今から指定する場所に来てくれ。"""
msc_027020_0170#0,"""ちょ、ちょっと待ってよ。"""
msc_027020_0180#0,"""本当に、ゼフェットなの？"""
msc_027020_0190#0,"""ああ。"""
msc_027020_0200#0,"""……ルシエルでの戦いのあと、<br>なにがあったの？"""
msc_027020_0210#0,"""それに、動けないって、どういうこと？"""
msc_027020_0220#0,"""……あ、あと、<br>ファリアはその……どういう状態なの？"""
msc_027020_0230#0,"""私の能力で、<br>ファリアの身体機能の一部を支配している。"""
msc_027020_0240#0,"""能力……？"""
msc_027020_0250#0,"""ファリア自身の意識も同時にある。<br>……今の話、聞いていただろう？"""
msc_027020_0260#0,"""……はい。<br>ゼフェット、聞こえています。"""
msc_027020_0270#0,"""よかった、無事なんだね。"""
msc_027020_0280#0,"""詳しい話は“この場所”で、<br>いくらでもしよう。"""
msc_027020_0290#0,"""ここまでの道のりは、<br>ファリアに“覚え”させた。"""
msc_027020_0300#0,"""マノン、ファリア、アイナ、<br>……そして909。"""
msc_027020_0310#0,"""お前たち四人だけで来い。"""
msc_027020_0320#0,"""……待っているぞ。"""
msc_027020_0330#0,"""……ゼフェット？"""
msc_027020_0340#0,"""…………。"""
msc_027020_0350#0,"""ゼフェットの意識は、<br>私の中から消えました。"""
msc_027020_0360#0,"""また、一方的に喋って、<br>いなくなってしまったのね……。"""
msc_027020_0370#0,"""ファリア、大丈夫？<br>身体はなんともない？"""
msc_027020_0380#0,"""ええ、大丈夫です。"""
msc_027020_0390#0,"""……よかった。"""
