ssc_501100_0010#0,"""ん？<br>あっ、<%me>！"""
ssc_501100_0020#0,"""どうしたの？\u3000こんなところで。"""
ssc_501100_0030#0,"""休憩中？"""
ssc_501100_0040#0,"""少し休んでいただけだよ。"""
ssc_501100_0050#0,"""うん。<br>ここ、休むにはちょうどいいと思って。"""
ssc_501100_0060#0,"""……スティアは、本当にすごいところだね。"""
ssc_501100_0070#0,"""ごつごつした岩ばかりで、<br>草や木はほとんど生えてないし。"""
ssc_501100_0080#0,"""周りはドールズだらけ。"""
ssc_501100_0090#0,"""昔のあたしだったら、<br>一日だっていられなかったと思う。"""
ssc_501100_0100#0,"""でも、キミたちと一緒に、<br>なんとか戦ってこれた。"""
ssc_501100_0110#0,"""あたしも、少しは強くなった<br>……って、ことなのかな？"""
ssc_501100_0120#0,"""アイナは強くなったよ。"""
ssc_501100_0130#0,"""まだまだ、努力が必要。"""
ssc_501100_0140#0,"""本当？<br>キミにそう言われると、うれしいな。"""
ssc_501100_0150#0,"""むぅー。<br>キミにそう言われたら、なにも言い返せないよ……。"""
ssc_501100_0160#0,"""最近はね、<br>また、マノンの日誌をよく読んでるんだ。"""
ssc_501100_0170#0,"""とくに、エネミーについて、<br>まとめたところをね。"""
ssc_501100_0180#0,"""どのエネミーが、どういう動きをするのか、<br>どういうときに隙ができるのか。"""
ssc_501100_0190#0,"""前は、なんとなく読んで、<br>なんとなく理解した気になってたけど……。"""
ssc_501100_0200#0,"""今は、しっかり覚えて、<br>実際の戦いに活かすようにしてるんだ。"""
ssc_501100_0210#0,"""それでね、<br>だんだんとわかるようになってきたの。"""
ssc_501100_0220#0,"""こういうときは、<br>マノンだったらこうするかも、とか。"""
ssc_501100_0230#0,"""こうなったときは、<br>マノンも困るんじゃないかなぁ、とか。"""
ssc_501100_0240#0,"""そうしているうちに、<br>自分だったらどうする？\u3000って考えるようになって……。"""
ssc_501100_0250#0,"""少しずつ自分らしい戦いかたが、<br>見えてきた気がするんだ。"""
ssc_501100_0260#0,"""基礎を学んでから応用だね。"""
ssc_501100_0270#0,"""何事も、まずは模倣から。"""
ssc_501100_0280#0,"""うん。<br>いろんな戦いかたを、試してみてるよ。"""
ssc_501100_0290#0,"""正解は、ひとつじゃないんだって、<br>わかってきたからね。"""
ssc_501100_0300#0,"""あ、それ。<br>お父さんも言ってた。"""
ssc_501100_0310#0,"""そっか……、<br>こういうことだったんだね。"""
ssc_501100_0320#0,"""やっとわかったよ。"""
ssc_501100_0330#0,"""……マノンには、すごく助けられてるから、<br>いつかお返しをしたいって思ってる。"""
ssc_501100_0340#0,"""もちろん、キミにも。"""
ssc_501100_0350#0,"""そのためには、もっともっと頑張って、<br>ふたりに追いつかないと……。"""
ssc_501100_0360#0,"""よーし！<br>休憩終わり！"""
ssc_501100_0370#0,"""新しい戦いかたを思いついたから、<br>ためしてみるよ。"""
ssc_501100_0380#0,"""それじゃ、またね！"""
