name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_101#0,"""เยี่ยมกว่าที่คิดไว้ซะอีก<br>เก่งจนเกือบเผลอหันปืนไปลองยิงใส่ดูแล้วนะเนี่ย"""
text02#0,"""แต่ก็ดีนะที่ไม่ได้เผลอยิงไปจริงๆ<br>Risa อ่ะ ชอบยิงคนอื่นม้ากมาก<br>แต่ไม่ได้ชอบโดนยิงเท่าไหร่หรอกนะ"""
text03#0,"""แล้วคนเก่งๆที่เล่นด้วยกันแล้วสนุกอย่างเจ้าเนี่ย <br>หายากนะเนี้ย เพราะหายาก Risa ก็เลย<br>ไม่ทำอะไรเจ้าหรอก"""
text04#0,"""เพราะงั้น เรามาสนิทกันไว้ดีกว่านะ<br>จะได้ออกไปยิงยิงยิงยิง ฆ่าฆ่าฆ่าฆ่า<br>พวกเจ้าศัตรูด้วยกันอีกเนอะ"""
text05#0,"""ก็ถ้าเราทำบ่อยๆ สักวันความสงบสุข<br>ก็คงจะกลับมาเองจริงมั้ยละะ? <br>ช่างเหอะเรื่องนั้น Risa ไม่ค่อยสนใจหรอก"""
11_voice_NPC_5026_101#1,"""いいですねえ、思わずうっとりです。<br>あなたになら撃たれてもいいって<br>ちょっと思っちゃいましたねえ。"""
text02#1,"""もちろん本気でされても困りますよお？<br>リサは撃つのは好きでも、撃たれるのは<br>あまり好きではありませんからねえ。"""
text03#1,"""それに、あなたのようなひとと戦うのは<br>楽しいでしょうけど、もったいない。<br>もったいないからやりませんよお。"""
text04#1,"""だから、ずうっと仲良くしましょうね。<br>一緒に敵さんを撃って撃って撃って<br>殺して殺して殺すんですよお。"""
text05#1,"""それをずっと続けていけば<br>いずれ平和というのにもなるんじゃない<br>ですかあ？\u3000ま、関係ないですけどお。"""
