text00#0,"""เกี่ยวกับ [Quest Point]"""
text01#0,"""รับ Quest Point โดยการกำจัด<br>Dragorii  ดังต่อไปนี้:<br><br>Sil Dinian: 3 points"""
text02#0,"""รับ Quest Point โดยการกำจัด<br>Dragorii ดังต่อไปนี้:<br><br>Sol Dinian: 3 points"""
text03#0,"""รับ Quest Point โดยการกำจัด<br>Dragorii ดังต่อไปนี้:<br><br>Sadinian: 3 points"""
text04#0,"""รับ Quest Point โดยการกำจัด<br>Dragorii ดังต่อไปนี้:<br><br>Ceto Sadinian: 3 points"""
text05#0,"""รับ Quest Point โดยการกำจัด<br>Dragorii ดังต่อไปนี้:<br><br>Baridran: 3 points"""
text00#1,"""『クエストポイント』について"""
text01#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>シル・サディニアン\u30003PT"""
text02#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ソル・サディニアン\u30003PT"""
text03#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>サディニアン\u30003PT"""
text04#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>セト・サディニアン\u30003PT"""
text05#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>バリドラン\u30003PT"""
