Title#0,"""Investigate Automata: Underworks"""
Explanation#0,"""บริเวณที่เรียกว่า Underworks ได้ถูกค้นพบที่<br>Lilipa แผนกวิจัยต้องการจะวิจัยงานบางอย่าง<br>งานของคุณคือการมุ่งหน้าไปยัง Underworks และ<br>เอาชนะ Automata<br>----------------------------------------<br>ผ่านเควสโดยสะสม 150 Quest point<br>ได้ point จาก Automata"""
Title#1,"""機甲種性能調査：地下坑道"""
Explanation#1,"""惑星リリーパで新たに発見された地下坑道。<br>そこに存在する機甲種のデータを<br>研究部が強く求めている。<br>本任務の内容は、地下坑道へと出撃し<br>機甲種と交戦、撃退することだ。<br>前回と同様、データ収集は戦闘と並行して<br>行われるので、大して手は煩わせない。<br>――――――――――――――――――――<br>クエストポイント【150】達成でクリア<br>主に機甲種の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด automataเพื่อรับคะแนน Quest points!"""
SimpleExplanation#1,"""機甲種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
