Title#0,"""Defeat Orgbran"""
Explanation#0,"""มีรายงานเข้ามาว่า Sea King ขนาดใหญ่ที่ชื่อว่า Orgbran<br>กำลังอาละวาดอยู่ใน Coast บน Wopal<br>มันมีจิตใจต่อต้าน ARKS อย่างรุนแรงหากปล่อยไว้<br>อาจจะเป็นอุปสรรคต่อการตรวจสอบหลังจากนี้ก็ได้<br>ขอให้ ARKS ทุกคนออกปฏิบัติการทันทีที่เตรียมตัวเสร็จ<br>ปราบ Orgbran ที่ปรากฏตัวในส่วนที่ลึกที่สุดของ Coast<br>และดูแลความปลอดภัยบริเวณรอบๆ<br>------------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในส่วนที่ลึกที่สุด"""
Title#1,"""オルグブラン討伐"""
Explanation#1,"""惑星ウォパル、海岸エリアの最奥にて<br>オルグブランと呼称される大型の海王種が<br>暴れ回っているとの情報が入った。<br>アークスに対する敵愾心も強く、放置すれば<br>以後の調査に支障が出ると推測される。<br>アークス各員は準備が出来次第出撃し<br>海岸エリア最奥に現れるオルグブランを<br>討伐し、周辺の安全を確保せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Orgbran ให้ได้!"""
SimpleExplanation#1,"""オルグブランを討伐せよ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
