name01#0,"""Risa"""
name01#1,"""リサ"""
text01#0,"""Aw... It's over already? I was hoping we<br>could have a little more fun, but oh well.<br>What's a girl to do?"""
text02#0,"""I suppose there are only so many hostiles.<br>Once they're dead, that's it. We can't<br>help it if we're so darn deadly. Hee hee!"""
text03#0,"""And isn't it great that you and I can tell<br>if we're getting in over our heads, and<br>decide to go somewhere else?"""
11_voice_NPC_5026_101#0,"""It's important to live another day, so you <br>can go out and kill lots and lots of hostiles<br>the next time."""
text05#0,"""That's a really really great thing, okay?<br>Okay, then, let's head home."""
text01#1,"""あーあ、終わっちゃいましたねえ。<br>もう少し楽しみたかったんですけど<br>まあ、仕方がないですねえ。"""
text02#1,"""敵さんにだって、限界はありますから<br>死んだなら、もう仕方がないですねえ。<br>どれだけ強くても仕方がないですねえ。"""
text03#1,"""でもでもお、リサやあなたは自分の<br>引き際を見極められるから<br>幸せですよねえ。"""
11_voice_NPC_5026_101#1,"""生きていれば、またその後に<br>たくさんいっぱいの敵さんを<br>殺して殺して殺して殺せます。"""
text05#1,"""それって、とってもとっても<br>いいことなんですよお？<br>……ですから、帰りましょうかあ。"""
