name01#0,"""シエラ"""
11_voice_navi09_armada_077#0,"""やりましたね！<br>続けて、ステップブーストについて<br>訓練しましょう！"""
11_voice_navi09_armada_078#0,"""「A.I.Sヴェガ」は新装備の<br>ブースターユニットにより<br>高速移動で自由に飛び回れます。"""
11_voice_navi09_armada_079#0,"""その名も「ステップブースト」です！<br>ステップ後、移動入力をし続けると<br>高速移動状態で飛行できますよ！"""
11_voice_navi09_armada_080#0,"""宙域に仮想標的を設置しました。<br>ステップブーストを駆使しつつ<br>すべての仮想標的を破壊しましょう！"""
line01#0,"""全てのターゲット破壊でクエストクリア！"""
text100#0,"""・<%Jump>で上昇、裏パレット<%PhotonArts>で下降。"""
text100b#0,"""・<%Jump>で上昇、<%MainPaletteC>で下降。"""
text200#0,"""・ステップ後に移動入力すると<br>ステップブーストが発動する。"""
text200b#0,"""・ステップ後に移動入力すると<br>ステップブーストが発動する。"""
text300#0,"""・「オートトラック」使用中に<br>敵をロックオンしながら移動を行うと<br>敵との高度が自動的に調節されます。"""
text300b#0,"""・「オートトラック」使用中に<br>敵をロックオンしながら移動を行うと<br>敵との高度が自動的に調節されます。"""
text400#0,"""・サブパレットの「急上昇」で上昇。<br>・サブパレットの「急下降」で降下。<br>"""
text400b#0,"""・サブパレットの「急上昇」で上昇。<br>・サブパレットの「急下降」で降下。<br>"""
tut_title100#0,"""A.I.Sの移動について 1/4"""
tut_title200#0,"""A.I.Sの移動について 2/4"""
tut_title300#0,"""A.I.Sの移動について 3/4"""
tut_title400#0,"""A.I.Sの移動について 4/4"""
