un_025110_0010#0,"""啊，說曹操曹操到<br><%me>。<br>你來得正好啊。"""
un_025110_0020#0,"""你看、提歐。<br>這種事氣勢很重要。<br>不要拖拖拉拉，一鼓作氣！"""
un_025110_0030#0,"""……嗯，我知道。<br>那個……<br><%me>桑。"""
un_025110_0040#0,"""給您添了很多麻煩<br>真是對不起。"""
un_025110_0050#0,"""１．錯的是盧瑟"""
un_025110_0060#0,"""２．已經沒事了嗎？"""
un_025110_0070#0,"""不，不止這些。<br>如果我再堅強一些<br>意志再堅定一些的話……"""
un_025110_0080#0,"""算了算了，已經過去的事<br>再說也沒有用、提歐。<br>嗯，你不這麼認爲嗎？"""
un_025110_0090#0,"""……啊，好的，託您的福。<br>雖然還不能太勉强<br>身但是身體本身好像沒有問題。"""
un_025110_0100#0,"""唉，再會的時候<br>突然變成魔人<br>嚇了一跳。"""
un_025110_0105#0,"""還有……<br>非常感謝。<br>……拯救了烏魯克。"""
un_025110_0110#0,"""<%me>桑<br>……因爲有她在<br>我才能够回來。"""
un_025110_0120#0,"""真的、真的……<br>非常感謝。"""
un_025110_0130#0,"""好，謝罪到此爲止！<br>向我和這個人道歉<br>就到此爲止了、提歐？"""
un_025110_0140#0,"""如果不被原諒那就這樣<br>那就這樣扛下去是你的責任！<br>拖拖拉拉也是禁止的！"""
un_025110_0150#0,"""……嗯，知道了。"""
un_025110_0160#0,"""但是，今後會很辛苦吧。<br>ARKS也會改變的吧<br>而且必須改變。"""
un_025110_0170#0,"""因為夏歐也說了<br>希望我多幫忙<br>這樣的話。"""
un_025110_0180#0,"""不要太勉強啊？<br>受了傷還沒完全好……"""
un_025110_0190#0,"""大丈夫、大丈夫。<br>因為體力勞動全部都會甩給提歐！"""
un_025110_0200#0,"""啊，我？"""
un_025110_0210#0,"""哎呀、不満？<br>說會一直和我在一起<br>的不是提歐嗎。"""
un_025110_0220#0,"""……嗯、算了、我會做的。<br>我也是病剛好<br>這方面也考慮過了……"""
un_025110_0230#0,"""好了，首先要和夏歐<br>就店鋪區域的改裝<br>進行討論！"""
un_025110_0240#0,"""……完全沒在聽別人說話啊。<br>嗯，這樣更像烏魯克吧。"""
linewindow001#0,"""可以邀請提歐德爾作為夥伴加入隊伍了。"""
