un_012210_0010#0,"""งาย หวัดดีจ้า!<br>สบายดึรึเปล่า?<br>ช่วงนี้เป็นไงมั่ง? หืม?"""
un_012210_0020#0,"""อย่าทำหน้าเหมือนสงสัยว่า [ไอดอลที่<br>กำลังพรางตัวจู่ๆ มาทักแบบนี้มันจะดีเหรอ] <br>ได้มั้ย ถามด้วยปากสิยะ"""
un_012210_0030#0,"""ฮึ่ม! ถ้าไม่มีอะไรชั้นไม่ทักก่อนหรอกจะบอกให้!"""
un_012210_0040#0,"""ชั้นมีงานมาขอให้ช่วยต่างหาก<br>เพื่อจะได้แน่ใจว่าคุณไม่ได้โดดงานมา<br>เอาแต่คอยตามชั้นรึเปล่าไงล่ะ"""
un_012210_0050#0,"""อย่าทำหน้าเหมือนอยากบอกว่า<br>[...ไม่ได้ตามอะไรทั้งนั้นแหละ<br>แค่จู่ๆ โดนเรียกให้หยุดแค่นั้น] ได้มะ"""
un_012210_0060#0,"""มีรางวัลตอบแทนให้เต็มที่อยู่แล้ว<br>ขอชั้นดูพลังที่แท้จริงของเธอสักหน่อยก็แล้วกันนะ!"""
un_012210_0070#0,"""A.P.238/4/5"""
un_012210_0010#1,"""やっ、こんにちは！<br>元気にやってるかな？<br>最近の調子はどう？\u3000どう？"""
un_012210_0020#1,"""……お忍びで来てるアイドルが<br>そんな気軽に話しかけてきていいのか<br>って顔すんな。口で言え。"""
un_012210_0030#1,"""ふん！\u3000別に用もなしに話しかけた<br>わけじゃないんだからね！"""
un_012210_0040#1,"""あなたが、あたしにかまけて<br>アークスとしての責務を放棄してないか<br>チェックするための依頼をしにきたの！"""
un_012210_0050#1,"""……かまけるもなにも<br>勝手に話しかけられてるだけじゃん<br>みたいな顔すんな。"""
un_012210_0060#1,"""きちんと報酬だって用意してるし<br>ちょーっとあなたの実力<br>あたしに示してみせてよね！"""
un_012210_0070#1,"""A.P.238/4/5"""
