Title#0,"""あなたがもたらす希望"""
Explanation#0,"""悠久の戦いに終止符を打つため<br>アークスの総力を結集し、最終決戦に挑む。<br>全宇宙の運命は、この一戦にかかっている。<br>すべてのアークスの健闘を祈る。<br>――――――――――――――――――――<br>オートドール機能の対象外<br>スケープドール・ハーフドールの使用不可"""
StoryExplanation#0,"""悠久の戦いに終止符を打つため<br>アークスの総力を結集し、最終決戦に挑む。<br>全宇宙の運命は、この一戦にかかっている。<br>すべてのアークスの健闘を祈る。"""
SimpleExplanation#0,"""シバを倒せ！"""
Area0S#0,"""マザーシップ・シバ\u3000内部"""
Area0L#0,"""マザーシップ・シバ\u3000内部\u3000エリア１"""
Area1S#0,"""マザーシップ・シバ\u3000内部"""
Area1L#0,"""マザーシップ・シバ\u3000内部\u3000エリア２"""
Area2S#0,"""マザーシップ・シバ\u3000中枢付近"""
Area2L#0,"""マザーシップ・シバ\u3000中枢付近"""
Area3L#0,"""マザーシップ・シバ\u3000中枢"""
Area3S#0,"""マザーシップ・シバ\u3000中枢"""
Area4L#0,"""マザーシップ・シバ\u3000中枢"""
Area4S#0,"""マザーシップ・シバ\u3000中枢"""
