text01#0,"""おおっ、貴様！\u3000無事か？\u3000無事だな！<br>よし、よしよし！\u3000よかった！<br>データも十分に集まっているぞ！"""
11_voice_NPC_5186_100#0,"""それどころか、集まったデータを元に<br>即座に試作品を作ってしまったぞ。<br>……まったく、張り切りすぎだ。"""
text03#0,"""でも、その気持ちも少しはわかる。<br>……研究室の皆は汚名返上したいんだ。<br>虚空機関のことがあったからな。"""
text04#0,"""それはさておき、これが試作品だ。<br>私の身で使用実験もしてある。<br>安心して使ってくれていいぞ。"""
text05#0,"""あと、手伝ってくれて、その……<br>感謝しているぞ、皆も……私も。<br>……ありがとう、な。"""
text000#0,"""『複合テクニック』について"""
text001#0,"""『複合テクニック』について説明します。<br><br>複合テクニックは<br>フォース、テクター専用のテクニックです。"""
text002#0,"""複合テクニックを使用するには<br>ロッド、タリス、ウォンドのいずれかを<br>装備している必要があります。"""
text003#0,"""複合テクニックを使用するためには<br>サブパレットに設定する必要があります。\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000<br>武器スロットには設定出来ません。"""
text004#0,"""複合テクニックを使用するためには<br>テクニックでエネミーにダメージを<br>与えてゲージを溜める必要があります。"""
text005#0,"""ゲージが最大まで溜まるとアイコンが<br>光り、使用可能な状態となります。"""
text006#0,"""アイコンを長押しすることでチャージが<br>開始され、チャージ完了後にアイコンを<br>放すと発動することが出来ます。"""
text007#0,"""複合テクニックは１度に２属性の効果を<br>行使することが出来、それぞれの属性の<br>クラススキルが適用されます。"""
text008#0,"""複合テクニックの威力を最大限に生かす<br>ためには、フォースとテクターそれぞれの<br>スキルの習得が重要になります。"""
