un_013220_0010#0,"""อ๊ะ <%me><br>การถ่ายทอดเมื่อกี้นี่ยอดไปเลยเนอะ<br>เสียงดังมากจนชั้นตกใจเลยล่ะค่ะ"""
un_013220_0020#0,"""คนๆ นั้นเป็นหนึ่งใน Six Pillars เหรอ?<br>ถือว่าเป็นคนใหญ่คนโตเป็นพิเศษคนนึง<br>ในหมู่ ARKS ด้วยกันสินะ"""
un_013220_0030#0,"""คิกคิก ดูเป็นคนสดใสร่าเริง<br>ซะจนไม่เห็นเป็นแบบนั้นเลยเนอะ<br>ไม่สิ ต้องพูดว่าแข็งแกร่งสิเนอะ"""
un_013220_0040#0,"""รู้สึกจะบอกว่ามาจัดงานเทศกาล<br>กันเถอะใช่รึเปล่านะ นั่นน่ะ"""
un_013220_0050#0,"""เรื่องของไอดอลเองชั้นก็เคยได้ยิน<br>รู้สึกว่าจะคึกคักจังเลยนะคะ<br>"""
un_013220_0060#0,"""ชั้นเองก็อยากจะลองทำอะไรทำอะไรที่<br>มันคึกคักดูบ้างจังน้า... ว่าไปนั่น"""
un_013220_0070#0,"""อา เอ ชั้นไม่เข้าร่วมหรอกค่ะ?<br>เพราะอาการปวดหัวอย่างรุนแรงก่อนหน้านี้<br>คุณ Filia ก็เลยบอกว่าอย่าออกกำลังมากน่ะ"""
un_013220_0080#0,"""<%me> น่ะ<br>คงจะเข้าร่วมสินะคะ?<br>ถ้าอย่างนั้นชั้นจะรอดูคุณก็แล้วกันนะ"""
un_013220_0090#0,"""เพราะฉะนั้น <%me><br>ช่วยพยายามเผื่อในส่วนของชั้นด้วยนะ"""
un_013220_0010#1,"""あ、<%me>。<br>すごかったね、さっきの放送。<br>おっきな声でびっくりしちゃった。"""
un_013220_0020#1,"""あの人が、六芒均衡の一人？<br>アークスの中でも、特に偉い<br>人たちだよね。"""
un_013220_0030#1,"""ふふっ、とてもそうは見えない<br>明るい人だったね。<br>ううん、強い人、なのかな。"""
un_013220_0040#1,"""お祭りみたいなことをやろうって<br>言ってたんだよね、あれ。"""
un_013220_0050#1,"""アイドルさんの話も聞くし<br>なんだか活気がある感じ。"""
un_013220_0060#1,"""わたしも活気に乗っかって<br>騒いでみたいなあ……なんて。"""
un_013220_0070#1,"""ああ、えっと、しないよ？<br>この前のひどい頭痛で、フィリアさんに<br>激しい運動はダメって言われてるから。"""
un_013220_0080#1,"""<%me>は<br>参加するんだよね？<br>それを見て、楽しむことにする。"""
un_013220_0090#1,"""だから<%me><br>わたしのぶんまで、頑張って、ね。"""
